"code_sect_activite","libelle_sect_activite","definition_sect_activite"
"99","Bâtiment et travaux publics (BTP)","Construisez l'avenir avec les métiers du BTP

Le BTP est l'un des premiers employeurs de France. Des travaux publics à la construction de logement, il y a une opportunité pour chacun et chacune. La rénovation énergétique est au coeur des enjeux du secteur du bâtiment et des travaux publics. Les besoins en main d'oeuvre sont nombreux et concernent des postes de conducteur de travaux, chef de chantier, maçon, électricien, charpentier ou couvreur par exemple.
Explorez les métiers du bâtiment et des travaux publics pour construire autrement."

"88","Commerce et distribution","Découvrez les métiers du secteur du commerce et distribution où la satisfaction client sont au coeur de chaque interaction

Accessible à des niveaux de diplôme divers, le secteur du commerce et de la distribution propose des opportunité allant du responsable de magasin au chef de rayon, en passant par le représentant commercial, et responsable e-commerce.
Explorez des métiers qui vous permettront de mettre en valeur vos compétences relationnelles et contribuez au succès des entreprises."

"94","Communication et marketing","Découvrez les métiers qui portent la voix des marques

Le secteur de la communication et du marketing regroupe des professionnels créatifs et stratèges qui façonnent l'image des marques et construisent des liens durables avec les consommateurs. Ces métiers offrent la possibilité de devenir des vecteurs de l'expérience client.
Explorez les métiers de la communication et du marketing pour construire des liens durables avec les clients."

"82","Culture et patrimoine","Découvrez les métiers de la culture et du patrimoine qui permettent de combiner histoire, arts et tradition.

Le secteur de la culture et du patrimoine réunit des professionnels passionnés qui préservent, valorisent et diffusent les richesses culturelles et patrimoniales.
Les professionnels du patrimoine occupent souvent un emploi dans la Fonction Publique. Alors que les métiers de la culture dépendent davantage de structures privées (associations, musées) ou de collectivités locales.
La transition numérique offre de nouvelles perspectives pour valoriser la culture et le patrimoine et ainsi faire vivre de nouvelles expériences aux visiteurs."

"97","Édition","Découvrez les métiers de l'édition, au cœur de la création !

Le secteur de l'édition joue un rôle essentiel dans la transmission de la culture, du savoir et de l'information. De la conception à la publication, il rassemble des professionnels qui rédigent, sélectionnent, corrigent, mettent en forme et diffusent des contenus sous différentes formes : livres, magazines, supports numériques ou audiovisuels.

Éditeur, journaliste, designer graphique, chaque métier contribue à valoriser les ""œuvres"" et à les rendre accessibles au public. À l'ère du numérique, le secteur évolue avec de nouveaux formats et usages, offrant des opportunités variées entre tradition et innovation.

Explorez les métiers de l'édition pour participer à la création, à la valorisation et à la diffusion des idées et des connaissances."

"108","Énergie","Découvrez les métiers de l'énergie, un secteur plein de ressources !

Le secteur de l'énergie produit, distribue et gére l'énergie du quotidien. Grandement impacté par les enjeux environnementaux, les professionnels de ce secteur doivent répondre de manière responsable à la demande croissante en énergie, au développement des énergies renouvelables et bas carbone, ainsi qu'à la réduction de la consommation d'énergie. Ce secteur offre des opportunités dans l'éolien, le solaire, la géothermie, le nucléaire, les réseaux intelligents dans le but de combiner l'exploitation de différentes énergies et la préservation des ressources et de la planète."

"112","Enseignement et formation","Explorez les métiers de l'enseignement et la formation où la connaissance est le fondement de chaque réussite.

Ce secteur regroupe des métiers qui transmettent le savoir, développent les compétences et accompagnent les individus tout au long de leur vie. De l'orientation scolaire à la formation professionnelle, en passant par l'enseignement général ou technique et l'éducation artistique, chaque profession contribue au développement éducatif.
Explorez les métiers de l'enseignement et de la formation pour inspirer, guider et éduquer les générations futures."

"80","Environnement","Relevez les défis environnementaux avec les métiers de l'environnement

Indispensable pour la préservation des ressources, de la biodiversité et le développement durable, les métiers de l'environnement contribuent à gérer durablement les ressources naturelles et réduire la pollution.
Que ce soit en tant que biologiste, écologiste, spécialiste de la gestion des ressources naturelles, ingénieur environnemental ou consultant en développement durable, ces métiers sont axés sur la recherche, la conservation, la gestion des écosystèmes et la promotion de pratiques respectueuses de l'environnement.
 Dans un contexte où les enjeux environnementaux sont de plus en plus pressants, découvrez toutes les opportunités liés au secteur de l'environnement."

"91","Finance, banque et assurance","Explorez les opportunités de la finance, de la banque et de l'assurance, où la sécurité financière et l'innovation se rencontrent.

La finance, la banque et l'assurance comptent parmi les premiers employeurs privés en France. Ce secteur est en constante évolution, façonnées par les progrès technologiques et les exigences réglementaires. De la gestion des investissements à la planification financière personnelle, en passant par les services bancaires et les polices d'assurance, ce secteur offre une gamme diversifiée d'opportunités professionnelles aux salaires attractifs."

"103","Gestion administrative et ressources humaines","Conjuguez développement et organisation avec les métiers de la gestion administrative et des ressources humaines.

Le secteur de la gestion administrative et des ressources humaines joue un rôle vital dans le bon fonctionnement des organisations, en assurant la gestion efficace des tâches administratives et le bien-être des employés. De la gestion des dossiers et des processus administratifs à la planification stratégique des ressources humaines et au développement du personnel, ces domaines offrent une multitude de possibilités professionnelles enrichissantes.
Explorez les métiers de la gestion administrative et des ressources humaines pour des carrières centrées sur l'efficacité organisationnelle et le développement humain."

"102","Hôtellerie et restauration","Découvrez les opportunités de l'hôtellerie et de la restauration, où l'accueil chaleureux et la gastronomie permettent de créer des expériences inoubliables.

Accueillir et  servir les clients, répondre à leurs besoins et garantir leur confort, les métiers de l'hôtellerie et de la restauration demandent un sens du service aiguisé, de la mobilité et une bonne condition physique, et offre des opportunités et des perspectives très intéressantes.
De la direction de structure touristique à la cuisine, en passant par la conciergerie et le service, le secteur de l'hôtellerie et de la restaurant est en tension et permet des cadres d'exercice très divers."

"92","Immobilier","Explorez le monde passionnant de l'immobilier, où chaque transaction est une rencontre entre besoins et aspirations.

Ce secteur a connu une transformation significative, attirant de nombreux talents. Les professionnels de l'immobilier guident les clients à travers les étapes de l'achat, de la vente ou de la location, offrant des conseils précieux et des solutions sur mesure.
Explorez les métiers de l'immobilier pour des perspectives de carrières enrichissantes dans un secteur en constante évolution."

"83","Industrie - Alimentaire","Nourrir le monde avec les métiers de l'industrie alimentaire

Ce secteur englobe un vaste éventail de métiers, allant des opérations manuelles d'assemblage au conditionnement des produits, en passant par la conduite d'équipements et l'encadrement d'équipes, chaque métier est essentiel à la chaîne de production alimentaire. Ces métiers proposent de nombreuses conditions de travail et recrutent de nombreux profils débutants ou expérimentés.
Explorez les métiers de l'industrie alimentaire pour faire carrière dans des entreprises en croissance."

"107","Industrie - Bois","Découvrez les métiers de l'industrie du bois, où la tradition artisanale rencontre l'innovation.

De la foresterie durable à la fabrication de meubles haut de gamme en passant par la construction écologique, ce secteur offre une diversité d'opportunités professionnelles. Le secteur de l'industrie du bois participe à la transition écologique : bois durable, construction bois 2.0, biomatériaux et économie circulaire, ce sont autant de métiers pour participer à cette transformation."

"106","Industrie - Chimie","Découvrez les opportunités de l'industrie de la chimie entre curiosité et créativité technologique.

La Chimie offre des emplois qualifiés et des formations tout au long du parcours professionnel dans des domaines variés : la mobilité et bâtiments durables, les énergies renouvelables, la santé, la beauté, l'hygiène et le bien-être, l'agriculture et le recyclage.
Faconnez notre mode de vie et imaginez les innovations de demain avec les métiers de l'industrie de la chimie."

"104","Industrie - Électronique","Découvrez le secteur de l'industrie électronique entre défis et opportunités.

L'industrie électronique regroupe des métiers dans la R&D, la production, la maintenance ou l'achat et la vente de matériaux. Les métiers de cette filière s'adressent à des profils techniques autant qu'aux commerciaux et s'orientent vers des applications de pointe dans la défense, l'aéronautique, et le médical par exemple.
Explorez les métiers de l'industrie électronique pour des carrières au coeur de l'innovation."

"100","Industrie - Métallurgie","Explorez les métiers de la métallurgie, où la tradition artisanale et la technologie de pointe forge l'avenir de la fabrication.

L'impression 3D révolutionne l'industrie métallurgique grâce à la métallurgie additive. Ce domaine en pleine expansion regroupe des professionnels qui repoussent les limites de la fabrication traditionnelle, créant des pièces métalliques complexes et personnalisées à partir de modèles numériques.
Explorez les métiers de la chaudronnerie, de la soudure, de la fabrication de machines-outils ou de pièces métalliques pour forger des carrières passionnantes."

"89","Industrie - Papier et imprimerie","Découvrez les métiers qui participent à la création, à la production et distribution de produits imprimés.

Indispensable pour répondre aux besoins d'information et de communication, le secteur de l'imprimerie et du papier s'adapte aux évolutions technologiques avec l'ambition d'une imprimerie durable. L'industrie de l'imprimerie regroupe trois grands secteurs : la prépresse, l'imprimerie labeur et la finition (façonnage et reliure).
Explorer les métiers de l'imprimerie et du papier pour des carrières qui offrent des perspectives de reprise d'entreprise."

"90","Industrie - Textile et mode","Tissez votre avenir avec les métiers de l'industrie textile et de la mode

L'industrie textile offre de vastes applications au delà de l'habillement, elle porte des innovation dans l'aéronautique, la santé, le sport ou l'automobile par exemple.  Accessible du CAP aux écoles d'ingénieurs spécialisées en textile, il existe de nombreuses métiers passionnants dans la mode comme dans l'industrie :  blanchisserie industrielle, coupe et montage de vêtements, stylisme ou réalisation d'articles en cuir."

"84","Industries","Découvrez le secteur de l'industrie, où l'ingéniosité et la créativité convergent pour façonner notre avenir.

L'industrie est tournée vers l'avenir grâce l'Intelligence Artificielle, l'impression additive et les enjeux de transition énergétique et décarbonation. C'est de nombreux métiers hautement qualifiés, qui recrutent chaque année des milliers de candidats issus de parcours de formation variés.
Explorez les métiers de l'industrie aéronautique, automobile, ferroviaire, navale métallurgique,mécanique pour des carrières passionnantes."

"96","Informatique et télécommunication","Découvrez les métiers de la technologie qui transforment notre façon de vivre et de travailler.

Au cœur de la révolution numérique, le secteur informatique, internet et télécommunication offre une multitude d'opportunités professionnelles passionnantes que ce soit dans l'intelligence artificielle, la data, la cybersécurité ou encore la réalité immersive. De la conception de logiciels innovants à la gestion des réseaux de communication, en passant par le développement de solutions technologiques, chaque métier contribue à façonner notre avenir et celui des entreprises."

"113","Logistique et transport","Découvrez les opportunités du secteur logistique et transport où la coordination rythme l'économie.

En plus d'être incontournable et transverse à tous les domaines d'activité, ce secteur en pleine croissance offre des conditions d'emploi particulièrement attractives et recrute de nombreux profils de différents niveaux. En France, il existe des opportunités d'emploi partout sur le territoire et il est possible de travailler en entrepôt, au cœur du transport routier, du transport fluvial ou du transport ferroviaire.
Explorez les métiers de la logistique et du transport pour des possibilités de carrières variées."

"81","Maintenance, entretien et nettoyage","Découvrez les métiers de la maintenance, de l'entretien et du nettoyage, où qualité et fiabilité sont les maîtres-mots.

Les métiers du secteur maintenance, entretien et nettoyage jouent un rôle essentiel dans de nombreux domaines d'activité en assurant le maintien du fonctionnement des machines et moyens de transport ou encore la propreté des espaces de vie et de travail. Des techniciens de maintenance aux agents d'entretien en passant par les spécialistes du nettoyage industriel, il existe des opportunités de carrière sur tout le territoire. Ces métiers contribuent à assurer la qualité du matériel des espaces privés ou public et participent à prévenir les risques pour les organisations."

"105","Recherche","Découvrez les opportunités dans le secteur de la recherche où l'innovation et la découverte sont au cœur de chaque métier.

Les besoins en matière d'innovation sont nombreux et grandissants : la recherche permet aux organisations - et plus largement à la société, d'améliorer leur compréhension de notre environnement pour relever de nouveaux défis. Qu'il s'agissent de recherche fondamentale au sein de laboraoires publics ou de recherche appliquée dans des entreprises, le secteur de la recherche offrent des opportunités dans de nombreux secteurs d'activité tels que les industries pharmaceutique, agro-alimentaire ou encore aéronautique.
Explorez les métiers de la recherche pour des carrières stimulantes."

"85","Santé","Découvrez les métiers qui donnent du sens à la vie.

Le secteur de la santé regroupe les métiers du paramédical et du médical, accessibles avec des formations de niveau bac jusqu'à bac + 5 et plus. Que vous souhaitiez exercer dans une structure public ou en libéral, les voies sont nombreuses et mènent aux métiers de soignants, spécialistes de la rééducation, de l'appareillage, de l'assistance médicale ou de la recherche.
Certaines régions font même face à une pénurie de professionnels, alors n'attendez plus pour découvrir les métiers qui vous permettront de prendre soin des autres."

"86","Service à la personne","Découvrez les métiers qui vous permettront de devenir acteur du bien-être et du confort.
Indispensable pour accompagner le quotidien de nombreuses personnes, le secteur du service à la personne est au coeur de la transition démographique.
De l'aide à domicile aux soins esthétiques, en passant par le soutien aux personnes en situation de handicap, une multitude de métiers vous permettront de mettre vos qualités à profit et d'accompagner les individus dans leur quotidien.
Que vous préfériez travailler au sein d'une structure d'accueil, au domicile des personnes, d'une collectivité ou d'une association, ce secteur offre une grande diversité de carrières et de conditions de travail.
Explorez les métiers du service à la personne pour des carrières uniques et enrichissantes."

"111","Service public, défense et sécurité","Découvrez les opportunités du secteur public, défense et sécurité où l'engagement envers les citoyens et leur protection sont au cœur de chaque action.

Indispensable dans la vie quotidienne des citoyens, les métiers du service public, de la sécurité et de la défense offrent de très nombreuses opportunités sur tout le territoire.
Que vous souhaitiez servir votre pays en tant que fonctionnaire, policier, militaire ou secouriste, chaque métier contribue à garantir la sécurité et la stabilité de notre nation.
Explorez les métiers du service public, de la défense et de la sécurité pour des carrières au service des autres."

"109","Social","Explorez le secteur social, où les professionnels s'engagent à soutenir et à améliorer la qualité de vie des individus.

Les métiers du social sont essentiels et centrés sur le soutien et l'accompagnement des personnes et communautés. Des conseillers en emploi et en insertion socioprofessionnelle aux auxiliaires de vie sociale, en passant par les intervenants sociaux et familiaux, une variété de métiers constituent le secteur social et contribuent à fournir un soutien essentiel aux enfants, aux adultes ou aux familles. Ces professionnels offrent un accompagnement médicosocial, éducatif et socioéducatif qui vise à améliorer l'intégration et le bien-être. Dans ce secteur, chaque professionnel joue un rôle crucial dans la création d'un environnement où chacun a la possibilité de s'épanouir et de participer pleinement à la société."

"93","Sport, animation et loisir","Découvrez des métiers qui vous permettront de vivre votre passion au quotidien !
Les métiers du sport, de l'animation et des loisirs ont un impact social important. Ils permettent de développer des compétences et des valeurs au cœur des enjeux de cohésion sociale et d'inclusion.
Que vous préfériez travailler en intérieur ou en extérieur, au sein d'une entreprise, d'une collectivité ou d'une association, ce secteur offre une grande diversité de carrières et de contextes de travail."

"101","Tourisme","Découvrez les métiers du tourisme et contribuez à créer des expériences fortes pour les voyageurs du monde entier.

La France compte parmi les premières destinations touristiques mondiales. Grâce à ce dynamisme, le tourisme est un secteur stratégique de notre économie.
 De la vente de voyages touristiques ou d'affaires au développement des territoires en passant par l'animation et l'événementiel... Les opportunités sont nombreuses et la demande croissance de personnalisation et de qualité offrent de belles perspectives d'innovation dans ce secteur qui recrute beaucoup."

