"code_rome","code_compo_bloc","libelle_type_texte","position_phrase","libelle_texte"
"A1204","3","definition","1","Le garde nature veille à la protection et à la préservation des espaces naturels (réserve naturelle, forêt, littoral, etc.) et de la biodiversité."
"A1204","3","definition","2","Effectue la surveillance des espaces naturels ou protégés contre les infractions environnementales"
"A1204","3","definition","3","Assure le respect des directives institutionnelles, de la règlementation environnementale et des règles de sécurité"
"A1204","3","definition","4","Sensibilise le public à la protection de l''environnement"
"A1204","3","definition","5","Met en place la sécurisation du public"
"A1204","3","definition","6","Participe au suivi naturaliste de l''espace naturel"
"A1204","4","acces_metier","1","Ce métier est accessible avec un diplôme de niveau Bac à Bac +2 dans le domaine agricole, l''environnement et la protection de la nature."
"A1205","3","definition","1","Le sylviculteur supervise l''ensemble des travaux d''entretien et de reconstitution des forêts, assurant ainsi la gestion durable des forêts."
"A1205","3","definition","2","Gère et surveille la croissance et la santé des arbres"
"A1205","3","definition","3","Contrôle les opérations de coupe et assure la régénération des espaces forestiers"
"A1205","3","definition","4","Supervise les travaux forestiers et coordonne les équipes sur le terrain"
"A1205","3","definition","5","Planifie et met en œuvre des projets de reforestation et de conservation"
"A1205","3","definition","6","Réalise des études d''impact environnemental pour préserver la biodiversité"
"A1205","3","definition","7","Peut informer et sensibiliser un public aux pratiques forestières et aux techniques de sylviculture durable"
"A1205","3","definition","8","S''il travail dans une entreprise du paysage, le professionnel spécialisé dans le reboisement préparera les sols, plantera, assurera le suivi de la croissance des plats, il protègera les plantations de l''attaque d''animaux et entretiendra la fôret, dans le respect de l''environnement et de la biodiversité."
"A1205","4","acces_metier","1","Cet emploi est accessible avec une formation de niveau Bac à Bac + 3 dans le domaine de la gestion et conduite de travaux forestiers."
"A1206","3","definition","1","Le Concepteur paysagiste conçoit des projets d''aménagements ou de réaménagement d''espaces extérieurs ruraux ou urbains en prenant compte des considérations esthétiques, environnementales et fonctionnelles."
"A1206","3","definition","2","Réalise des plans et des maquettes en 3D pour visualiser les projets avant leur exécution"
"A1206","3","definition","3","Choisit les plantes et matériaux adaptés à chaque projet en fonction du climat et du sol"
"A1206","3","definition","4","Supervise les travaux d''aménagement et coordonne les équipes sur le terrain"
"A1206","3","definition","5","Conseille les clients sur l''entretien des espaces verts et propose des solutions durables"
"A1206","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac+3 à Bac+5 en aménagement ou architecture du paysage."
"A1207","3","definition","1","Le chef d''équipe travaux de milieux naturels orchestre la préservation et la valorisation de nos espaces naturels."
"A1207","3","definition","2","Supervise et coordonne les activités d''entretien des espaces naturels"
"A1207","3","definition","3","Planifie les activités et gère les ressources matérielles et humaines nécessaires"
"A1207","3","definition","4","Veille à l''application des règles de sécurité, des normes environnementales et du règlement du territoire applicable"
"A1207","3","definition","5","Forme les membres de l''équipe aux techniques d''entretien écologique"
"A1207","3","definition","6","Réalise des rapports sur l''état des sites et propose des améliorations"
"A1207","3","definition","7","Veille au respect du fonctionnement des écosystèmes selon les préconisations (Ecologue, autorités locales)"
"A1207","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac + 2 dans le domaine de l''entretien d''espaces naturels ou de gestion des milieux naturels."
"A1207","4","acces_metier","2","Il est également accessible avec un niveau Bac et une expérience significative."
"A1207","4","acces_metier","3","Des Certificats d''Aptitude à la Conduite En Sécurité (CACES) peuvent être nécessaires pour la conduite de certains engins."
"A1208","3","definition","1","Le jardinier paysagiste, entretient des jardins ou espaces verts, pour embellir l''environnement et créer une atmosphère fonctionnelle et accueillante."
"A1208","3","definition","2","Conçoit et aménage des jardins et des espaces verts selon les besoins du client et les contraintes du site"
"A1208","3","definition","3","Entretient les plantations, les pelouses et les équipements extérieurs"
"A1208","3","definition","4","Réalise des opérations de taille, de tonte, de désherbage et de traitement des plantes"
"A1208","3","definition","5","Installe les systèmes d''irrigation et veille à leur fonctionnement pour optimiser la consommation d''eau"
"A1208","3","definition","6","Peut participer à la création de décors pour des événements spéciaux"
"A1208","3","definition","7","Le jardinier peut travailler en création, ou il aménage des jardins privés et d''entreprises, des parcs et des espaces végétalisés publics, selon les plans d''un concepteur. Il assure la préparation des sols, retourne la terre, apporte des engrais. Il réalise des semis, met en place les pelouses, les plantes, les arbres et les arbustes. Il peut réaliser des terrasses, des allées, des murets, et effectuer des travaux de menuiserie pour structurer l''espace. Il peut aussi installer l''éclairage le plus adapté"
"A1208","3","definition","8","Le jardinier peut travailler en entretien, ou il s''assure de la bonne croissance des végétaux de l''aménagement paysager grâce à ses interventions régulières dans les jardins et les parcs, sur les toitures et murs végétalisés. Il intervient régulièrement pour s''assurer que les végétaux ne sont pas victimes de maladies ou de prédateurs. Il veille à la croissance des plantes et supervise l''arrosage automatique. Il désherbe, selon des méthodes respectueuses de la biodiversité. Il tond, bêche les massifs, ramasse les feuilles, effectue la taille des arbustes et des massifs"
"A1208","4","acces_metier","1","Cet emploi est accessible avec diplôme de niveau CAP à Bac agricole en aménagement paysager et généralement une expérience dans l''entretien des espaces verts."
"A1208","4","acces_metier","2","Des Certificats d''aptitude à la conduite en sécurité (CACES) peuvent être demandés pour la conduite d''engins."
"A1209","3","definition","1","L''élagueur, spécialiste de la taille et de l''entretien des arbres, prend soin de l''environnement et de la sécurité du public."
"A1209","3","definition","2","Taille les arbres et arbustes selon les besoins esthétiques ou sécuritaires"
"A1209","3","definition","3","Assure l''entretien et le soin des arbres pour préserver leur santé et leur croissance"
"A1209","3","definition","4","Utilise des techniques de grimpe pour accéder aux branches"
"A1209","3","definition","5","Gère les déchets végétaux issus de la taille et de l''élagage"
"A1209","3","definition","6","Il travaille obligatoirement en équipe avec un collègue resté au sol pour surveiller le périmètre de sécurité et réceptionner les branches coupées."
"A1209","4","acces_metier","1","Cet emploi est généralement accessible avec un diplôme de niveau CAP à Bac dans le secteur du paysage, de l''agriculture ou de l''aménagement paysager."
"A1209","4","acces_metier","2","Le certificat de spécialisation d''arboriste élagueur peut être requis."
"A1209","4","acces_metier","3","Des certificats d''aptitude à la conduite en sécurité (CACES) peuvent être demandés pour la conduite d''engins ou l''utilisation de nacelles élévatrices."
"A1209","4","acces_metier","4","Ne pas avoir le vertige est indispensable pour le travail en grande hauteur."
"A1210","3","definition","1","L''ouvrier forestier, entretient la forêt et participe ainsi à la préservation de notre environnement."
"A1210","3","definition","2","Participe à la plantation, à l''entretien et à la coupe des arbres et d''autres végétaux dans le respect des normes de qualité et des pratiques de reboisement durable"
"A1210","3","definition","3","Effectue des travaux de débroussaillage pour prévenir les risques d''incendies"
"A1210","3","definition","4","Entretient et effectue les réparations courantes sur les matériels, engins et / ou locaux"
"A1210","3","definition","5","Entretient les infrastructures et équipements en milieux naturels"
"A1210","3","definition","6","Peut être impliqué dans des activités de sensibilisation et d''éducation à l''environnement"
"A1210","4","acces_metier","1","Cet emploi est accessible sans qualification. Un diplôme de niveau CAP ou BEP à Bac pro agricole dans le domaine des travaux forestiers peut cependant en faciliter l''accès."
"A1211","3","definition","1","Le chef d''équipe paysagiste coordonne les équipes sur les chantiers d''entretien et d''aménagement d''espaces verts afin d''assurer la réussite des projets paysagers."
"A1211","3","definition","2","Organise les postes de travail et répartit les activités sur les chantiers d''aménagement ou d''entretien"
"A1211","3","definition","3","Sélectionne les plantes et les matériaux adaptés à chaque projet"
"A1211","3","definition","4","S''assure de la disponibilité du matériel et de l''approvisionnement des chantiers"
"A1211","3","definition","5","Sensibilise les clients ou les équipes sur la mise en place de solutions écologiques pour entretenir jardins et espaces verts"
"A1211","3","definition","6","Peut concevoir des aménagements paysagers selon les besoins des clients et les caractéristiques des sites"
"A1211","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau CAP à Bac+2 dans le domaine de l''aménagement paysager et une expérience professionnelle dans le secteur."
"A1212","3","definition","1","Le Chef d''équipe de travaux forestiers, un rôle clé pour la qualité de la gestion des travaux forestiers et la préservation des espaces forestiers."
"A1212","3","definition","2","Supervise et coordonne les activités de l''équipe sur le terrain"
"A1212","3","definition","3","Contrôle la qualité des travaux réalisés et veille au respect du cahier des charges des chantiers  et des normes de sécurité"
"A1212","3","definition","4","Forme les membres de l''équipe aux techniques forestières et à l''utilisation du matériel"
"A1212","3","definition","5","Gère et entretient les ressources matérielles nécessaires aux travaux forestiers"
"A1212","3","definition","6","Peut participer à des projets de reforestation et de conservation"
"A1212","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Brevet Professionnel (BP) ou Bac dans le domaine des travaux forestiers ou d''un BTSA en gestion forestière."
"A1213","3","definition","1","Le conducteur de travaux forestiers orchestre la gestion des travaux forestiers, en alliant expertise technique et respect de l''environnement pour préserver et valoriser le patrimoine naturel."
"A1213","3","definition","2","Manage une équipe opérationnelle et met en œuvre des objectifs opérationnels"
"A1213","3","definition","3","Ouvre, suit et réceptionne un chantier"
"A1213","3","definition","4","Veille au respect des normes environnementales et de sécurité lors des interventions forestières"
"A1213","3","definition","5","Gère le budget et les ressources matérielles nécessaires aux projets (matériels, véhicules, locaux)"
"A1213","3","definition","6","Peut participer à des projets de recherche et de développement sur la gestion durable des forêts"
"A1213","4","acces_metier","1","Cet emploi est accessible avec des formations de niveau Bac+2 à Bac+5 en gestion forestière. Il est également accessible avec une expérience significative de chef d''équipe de travaux forestiers."
"A1214","3","definition","1","Le Patrouilleur modeleur VTT, un acteur clé pour l''aménagement, la sécurité et l''entretien des pistes de VTT en montagne."
"A1214","3","definition","2","Participe à la conception et à la mise en place de nouveaux parcours ou améliorations de pistes existantes"
"A1214","3","definition","3","Inspecte et entretient les pistes de VTT pour garantir la sécurité des utilisateurs"
"A1214","3","definition","4","Modèle et adapte le terrain pour améliorer l''expérience de conduite sur les pistes"
"A1214","3","definition","5","Collabore avec les équipes de secours pour assurer une intervention rapide en cas d''accident"
"A1214","3","definition","6","Informe les utilisateurs sur les règles de sécurité et les nouvelles configurations de pistes, signale les obstacles et dangers potentiels"
"A1214","4","acces_metier","1","Cet emploi est accessible sans qualification particulière obligatoire. Des certifications telles que le CQP Patrouilleur modeleur VTT,  secourisme, moniteur ou accompagnateur VTT ou gestion de parcours en montagne peuvent être des atouts."
"A1215","3","definition","1","L''agent d''aires marines protégées est un technicien opérationnel qui agit sur le terrain, chargé de la protection et de la gestion des zones marines protégées (parcs naturels marins, réserves, zone Natura 2000) ; sous la responsabilité du gestionnaire, il :"
"A1215","3","definition","2","Appuie la mise en œuvre des plans de gestion environnementaux de l''aire en effectuant quotidiennement des actions de surveillance et de protection des écosystèmes marins"
"A1215","3","definition","3","Effectue des contrôles auprès des usagers et des professionnels de loisirs afin que les règlementations (pêche, plongée, navigation) soient respectées"
"A1215","3","definition","4","Sensibilise et informe le public en organisant des animations pédagogiques, des sorties guidées ou en participant à des évènements pour promouvoir la préservation du milieu marin"
"A1215","3","definition","5","Réalise des études de terrain sur l''état de conservation des zones protégées"
"A1215","3","definition","6","Peut aussi être amené à collaborer avec des organismes locaux et internationaux pour la préservation des habitats marins dans le cadre des projets de recherche et de restauration écologique marine."
"A1215","4","acces_metier","1","En théorie, aucune certification n''est obligatoirement requise pour exercer ce métier, mais des qualifications spécifiques telles que des connaissances en écologie marine, protection des écosystèmes marins sont généralement indispensables."
"A1215","4","acces_metier","2","Le certificat de matelot pont ou équivalent est obligatoire pour pouvoir naviguer. Le niveau professionnel de plongée sous-marine (CAH IB ou IIB) et le permis bateau sont des atouts."
"A1215","4","acces_metier","3","Il faut aussi avoir des aptitudes physiques pour le travail en mer prolongé. Des habilitations de secourisme de type PSE1 et un niveau 1B ou professionnel de plongée sont souvent demandés."
"A1216","3","definition","1","Le responsable de site naturel protégé est garant de la gestion d''une aire protégée (parc, réserve naturelle, etc.) terrestre ou marine afin d''assurer la préservation et la valorisation du patrimoine naturel tout en veillant le cas échéant à son accessibilité et sa valorisation."
"A1216","3","definition","2","Elabore les documents de gestion et le programme d''action d''un espace naturel protégé sur les différents axes (travaux, éducation, conservation, surveillance, valorisation) en cohérence avec les enjeux écologiques, réglementaires et territoriaux"
"A1216","3","definition","3","Coordonne et supervise sa mise en place et évalue les documents de gestion permettant d''assurer la conservation, la restauration et la valorisation durable de l''espace naturel protégé."
"A1216","3","definition","4","Coordonne  la mise en œuvre des documents de gestion"
"A1216","3","definition","5","Coordonne les activités de surveillance en lien avec les règlementations environnementales applicables"
"A1216","3","definition","6","Coordonne le développement et la mise en œuvre des programmes de conservation"
"A1216","3","definition","7","Coordonne  la mise en place du programme d''accueil du public, d''éducation et de sensibilisation"
"A1216","3","definition","8","Coordonne la collaboration avec des acteurs locaux pour promouvoir la protection de l''environnement et d''assurer l''ancrage territorial du site protégé"
"A1216","4","acces_metier","1","Cet emploi est accessible avec une formation de niveau  Bac +5 en en écologie, biologie ou géologie, sciences de la vie et de la Terre."
"A1217","3","definition","1","Le responsable de gardes nature garantit le respect des lois et de la règlementation relatives à la préservation du patrimoine naturel d''un espace naturel protégé (Réserve naturelle, parc, littoral, etc.) à travers l''animation et la coordination d''une équipe de gardes."
"A1217","3","definition","2","Planifie et coordonne les actions de prévention, de surveillance et de contrôle d''un espace naturel protégé"
"A1217","3","definition","3","Participe à la coordination interservices avec l''ensemble des autres services compétents et assure le lien avec le pouvoir judiciaire sur son territoire d''intervention"
"A1217","3","definition","4","Contribue à la définition de la stratégie de surveillance et de réponse pénale donnée aux infractions commises sur l''aire protégée"
"A1217","3","definition","5","S''assure de la mise en place de mesures de sécurité des gardes dont il a la responsabilité et fait remonter les problèmes de sécurité rencontrées"
"A1217","3","definition","6","A travers une présence régulière sur le terrain sur les missions de garde, il :"
"A1217","3","definition","7","Contribue à la prévention des infractions sur l''espace naturel"
"A1217","3","definition","8","Contribue à la recherche et la constatation des infractions"
"A1217","3","definition","9","Contribue à assurer la surveillance de l''état du site, et contribuer aux suivis naturalistes et à la mise en oeuvre plan de gestion de l''espace"
"A1217","3","definition","10","Contribue à la verbalisation les infractions et les comportements à risque ou leur signalement aux autorités compétentes"
"A1217","3","definition","11","Contribue à la représentation de la structure  auprès des acteurs locaux."
"A1217","4","acces_metier","1","Ce métier est accessible avec un diplôme de niveau Bac + 2 dans le domaine de l''environnement et la protection de la nature."
"A1218","3","definition","1","Le conducteur de travaux de milieux naturels orchestre la réalisation de projets de travaux pour préserver et restaurer les écosystèmes par le pilotage (planification, organisation et coordination) de l''ensemble des chantiers écologiques sous sa responsabilité"
"A1218","3","definition","2","Identifie et évalue les risques environnementaux associés au projet (réduction d''impact, anticipation des risques pollution...)"
"A1218","3","definition","3","Préconise des solutions techniques adaptées aux enjeux écologiques, aux caractéristiques du site et aux contraintes opérationnelles et réglementaires"
"A1218","3","definition","4","Planifie et coordonne les différentes phases du projet écologique"
"A1218","3","definition","5","Organise  l''activité travaux à travers et suit les différentes phases du projet écologique"
"A1218","3","definition","6","Assure la gestion des ressources matérielles et humaines et financière nécessaires afin de respecter les délais, coûts et qualité des prestations en lien avec les aspects écologiques"
"A1218","3","definition","7","Supervise et coordonne les travaux sur le terrain en lien avec le respect des délais, des objectifs écologiques, des règles de sécurité et réglementaires"
"A1218","3","definition","8","Assure le lien avec les parties prenantes (équipes, partenaires et la maîtrise d''ouvrage pour garantir l''alignement des objectifs)"
"A1218","3","definition","9","Répond aux offres et chiffre les interventions, et assure le suivi administratif et financier du chantier jusqu''à la facturation"
"A1218","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac + 3 à Bac + 5 dans le domaine de l''entretien des espaces naturels ou de la gestion des milieux naturels, ou un diplôme d''école d''ingénieur (Bac + 5), complété de formations en biodiversité."
"A1219","3","definition","1","Le directeur des espaces verts et de la biodiversité orchestre la gestion et le développement des espaces verts pour promouvoir la biodiversité urbaine."
"A1219","3","definition","2","Supervise la conception, l''aménagement et l''entretien des parcs, jardins et espaces verts"
"A1219","3","definition","3","Développe des projets visant à améliorer la biodiversité et l''attrait écologique des zones urbaines"
"A1219","3","definition","4","Collabore avec des équipes multidisciplinaires pour intégrer des pratiques durables dans la gestion des espaces verts"
"A1219","3","definition","5","Assure la conformité avec les réglementations environnementales et les objectifs de développement durable"
"A1219","3","definition","6","Gère les budgets, les ressources humaines et les équipements nécessaires à l''entretien des espaces verts"
"A1219","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac + 2 à Bac + 5 en gestion de l''environnement, biologie, protection de la nature, ou ingénierie agronomique. Des certifications spécialisées en gestion des espaces naturels peuvent être un atout."
"A1220","3","definition","1","Le jardinier paysagiste en terrain de sport articipe à l''aménagement, à l''entretien et à la rénovation des surfaces sportives engazonnées ou synthétiques, sous la responsabilité d''un chef de chantier."
"A1220","3","definition","2","Prépare et nivelle les sols à l''aide d''engins adaptés"
"A1220","3","definition","3","Installe le gazon naturel, le revêtement synthétique ou stabilisé et réalise le traçage des terrains"
"A1220","3","definition","4","Réalise des travaux d''aménagement périphériques tels que la pose de bordures, de clôtures ou des ouvrages de petite maçonnerie"
"A1220","3","definition","5","Assure l''entretien spécifique des terrains de sport, tonte, aération, sablage, fertilisation et traitements adaptés selon l''état des sols et des pelouses"
"A1220","3","definition","6","Intervient pour remettre en état les surfaces avant, pendant et après les rencontres sportives afin de garantir leur qualité et leur sécurité"
"A1220","3","definition","7","Gère les systèmes d''arrosage, programmation, mise en service, arrêt et opérations de maintenance courante"
"A1220","4","acces_metier","1","Cet emploi est accessible avec diplôme de niveau CAP à Bac agricole en aménagement paysager et généralement une expérience dans le domaine paysager"
"A1220","4","acces_metier","2","Des Certificats d''aptitude à la conduite en sécurité (CACES) peuvent être demandés pour la conduite d''engins."
"A1221","3","definition","1","Le conducteur de travaux paysagers organise, pilote et contrôle plusieurs chantiers d''aménagement ou d''entretien d''espaces paysagers, de la phase de préparation jusqu''à la réception par le client."
"A1221","3","definition","2","Garantit le respect des délais, des budgets et des règles d''hygiène et de sécurité"
"A1221","3","definition","3","S''appuie sur les chefs d''équipe présents sur chaque chantier et travaille en lien étroit avec l''ensemble des interlocuteurs, clients, paysagistes concepteurs, fournisseurs ou partenaires"
"A1221","3","definition","4","Définit les moyens techniques, humains et financiers nécessaires, établit le planning des travaux et anticipe les besoins en ressources"
"A1221","3","definition","5","Négocie les achats de fournitures et de matériaux, notamment les végétaux, auprès des fournisseurs"
"A1221","3","definition","6","En phase d''exécution, coordonne l''intervention des équipes et veille au bon déroulement des opérations dans le respect des exigences réglementaires"
"A1221","3","definition","7","Peut également participer aux études de création ou d''aménagement, contribuer à la gestion technico-commerciale des chantiers et répondre aux appels d''offres"
"A1221","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac + 2 dans le domaine de l''aménagement paysager et une expérience professionnelle dans le secteur."
"A1301","3","definition","1","Le Technicien en agriculture conseille et assiste les professionnels de l''agriculture, en particulier dans le maraichage et l''horticulture, afin d''optimiser la production."
"A1301","3","definition","2","Supervise et optimise les processus de production agricole en respectant l''environnement"
"A1301","3","definition","3","Conseille les agriculteurs sur les techniques culturales et les innovations agricoles"
"A1301","3","definition","4","Réalise des études de sol et des analyses pour améliorer la qualité des cultures"
"A1301","3","definition","5","Gère l''utilisation des équipements agricoles et assure leur maintenance"
"A1301","3","definition","6","Participe à la mise en place de projets de développement rural et d''agriculture biologique"
"A1301","3","definition","7","Assure la veille technologique et réglementaire pour adapter les pratiques agricoles aux normes en vigueur"
"A1301","4","acces_metier","1","Ce métier est accessible à partir d''un diplôme de niveau Bac +2 en en agriculture."
"A1302","3","definition","1","L''Agent de diagnostic et de contrôle en agriculture réalise les opérations de surveillance et de contrôle sur les lieux de production et de stockage agricole (chambre froide, silo, etc.) afin de garantir la sécurité alimentaire."
"A1302","3","definition","2","Contrôle le respect des règles d''hygiène, de sécurité et la réglementation sanitaire et environnementale"
"A1302","3","definition","3","Effectue un diagnostic et préconise des actions curatives ou préventives"
"A1302","3","definition","4","Apporte un appui technique aux exploitants agricoles et aide à la mise en œuvre d''actions d''évolution"
"A1302","3","definition","5","Peut procéder à des contrôles de conformité et verbaliser les contrevenants à la réglementation"
"A1302","3","definition","6","Peut rédiger des rapports d''inspection et de contrôle et les transmettre aux institutions concernées (services vétérinaires, direction de répression des fraudes, etc.)"
"A1302","4","acces_metier","1","Ce métier est accessible avec une formation de niveau Bac + 2 dans le domaine agricole ou agro-alimentaire."
"A1303","3","definition","1","L''Ingénieur d''études et de recherche agricoles façonne l''avenir de l''agriculture par des innovations et des recherches avancées."
"A1303","3","definition","2","Conçoit et développe des projets de recherche pour améliorer les pratiques agricoles"
"A1303","3","definition","3","Analyse les données environnementales pour optimiser les rendements et la durabilité des exploitations"
"A1303","3","definition","4","Collabore avec des équipes multidisciplinaires pour intégrer les avancées technologiques dans l''agriculture"
"A1303","3","definition","5","Participe à la rédaction de publications scientifiques et à la communication des résultats de recherche"
"A1303","3","definition","6","Guide les agriculteurs et les entreprises agricoles dans l''adoption de nouvelles technologies et pratiques"
"A1303","3","definition","7","Évalue l''impact environnemental des pratiques agricoles et propose des solutions durables"
"A1303","4","acces_metier","1","Cet emploi est accessible avec un diplôme de niveau Bac +5 en agronomie, agro sciences ou dans le domaine de l''agriculture, alimentation et environnement."
"A1303","4","acces_metier","2","Les emplois de la fonction publique sont accessibles par voie de concours."
"A1304","3","definition","1","Acteur clé de la sensibilisation et de la promotion des pratiques agricoles durables, le Conseiller technique agricole accompagne les agriculteurs dans la gestion de leur activité et l''optimisation de leur production."
"A1304","3","definition","2","Analyse l''activité et les résultats des agriculteurs accompagnés"
"A1304","3","definition","3","Propose des solutions techniques, économiques ou organisationnelles"
"A1304","3","definition","4","Conseille des produits, des outils ou des services adaptés"
"A1304","3","definition","5","Développe des partenariats locaux et représente les intérêts de sa structure auprès d''acteurs institutionnels."
"A1304","4","acces_metier","1","Cet emploi est accessible avec un BTS Agricole, un BUT ou une licence pro en agronomie, en droit et économie agricole ou en gestion des organisations agricoles et agroalimentaires."
"A1305","3","definition","1","Le technicien des services vétérinaires, spécialisé dans le contrôle sanitaire et la protection des animaux, contribue à garantir la santé publique tout au long de la chaîne alimentaire."
"A1305","3","definition","2","Effectue des missions d''inspection pour contrôler les conditions de vie et de bien-être des animaux dans les élevages, refuges, abattoirs, ..."
"A1305","3","definition","3","Vérifie le respect des normes d''hygiène et de sécurité des produits d''origine animale destinés à la consommation dans les abattoirs et les industries agroalimentaires"
"A1305","3","definition","4","S''assure du respect des normes et de la règlementation"
"A1305","3","definition","5","Prélève des échantillons pour analyses"
"A1305","3","definition","6","Rédige des rapports d''inspection"
"A1305","3","definition","7","Peut ouvrir une enquête sanitaire en cas de risques sanitaires ou de maladies contagieuses"
"A1305","4","acces_metier","1","Cet emploi de la fonction publique est accessible sur concours ouvert aux candidats titulaires d''un diplôme de niveau Bac à Bac +2/3 de préférence en biologie ou en sciences. Une formation de niveau Bac +2 dispensée par l''Institut de formation du ministère de l''Agriculture (INFOMA),  permettra l''obtention du diplôme obligatoire pour exercer cet emploi en France."
"A1306","3","definition","1","Le chargé d''étude naturaliste étudie et analyse les écosystèmes et la biodiversité en agissant en tant qu''interface entre la nature et la société pour le respect des équilibres des écosystèmes."
"A1306","3","definition","2","Réalise des inventaire naturalistes (faune, flore, etc.)"
"A1306","3","definition","3","Évalue et surveille l''état des habitats naturels de la faune et la flore associée"
"A1306","3","definition","4","Participe à la conception et la mise en œuvre des plans de gestion pour la conservation des espaces naturels"
"A1306","3","definition","5","Réalise des études d''impact environnemental pour des projets de développement"
"A1306","3","definition","6","Participe à la rédaction de rapports scientifiques et techniques sur la biodiversité"
"A1306","4","acces_metier","1","Ce métier est accessible avec une formation de niveau Bac +2 à Bac + 5 dans le domaine de l''environnement ou de l''écologie."
"A1307","3","definition","1","L''Ingénieur forestier gère les projets d''aménagement et d''exploitation durables de la forêt."
"A1307","3","definition","2","Élabore et met en œuvre des plans de coupe et de reboisement"
"A1307","3","definition","3","Supervise les opérations de reforestation, d''aménagement et d''entretien des espaces"
"A1307","3","definition","4","Réalise des études d''impact environnemental pour protéger les écosystèmes"
"A1307","3","definition","5","Conseille sur les meilleures pratiques de gestion forestière et de conservation de la biodiversité"
"A1307","3","definition","6","Collabore avec des organismes gouvernementaux et non gouvernementaux pour la mise en place de politiques environnementales"
"A1307","3","definition","7","Dirige les équipes sur le terrain lors des travaux d''entretien des zones forestières"
