translation_id,entity_kind,entity_id,source,label_en,label_fr,status,reason,created_at
TRAD_2d181bd9ec7d,occupation,OCC_3756041ae6ec,REMOTEOK,Data Entry Clerk,Agent de saisie de données,applied,ok,2026-07-15T09:40:03+00:00
TRAD_250d6fbae71b,occupation,OCC_d9115408ab56,REMOTEOK,Business Analyst,Analyste d'affaires,applied,ok,2026-07-15T09:40:03+00:00
TRAD_875f88edaea0,occupation,OCC_12523bb775b4,REMOTEOK,The Role,Le poste,applied,ok,2026-07-15T09:40:03+00:00
TRAD_d71ae40b3611,occupation,OCC_92f9f3093c8b,REMOTEOK,Architectural Drafter Designer,Dessinateur / Dessinatrice-concepteur(trice) en architecture,applied,ok,2026-07-15T09:40:03+00:00
TRAD_0daea8d8f37a,occupation,OCC_a1062fbaedbf,REMOTEOK,Freelance Background Artist for YouTube Studio,Artiste freelance de décors pour YouTube Studio,applied,ok,2026-07-15T09:40:03+00:00
TRAD_55a3328421c4,occupation,OCC_b98e457eb404,REMOTEOK,Data Entry Typist,Dactylographe - Saisie de données,applied,ok,2026-07-15T09:40:03+00:00
TRAD_0bae02e764c7,occupation,OCC_85e5ce1c9c06,REMOTEOK,Inbound Sales Closer,Closer commercial - Ventes entrantes,applied,ok,2026-07-15T09:40:03+00:00
TRAD_00253afef701,occupation,OCC_ddd89e3da57a,REMOTEOK,English Language Expert,Expert(e) en langue anglaise,applied,ok,2026-07-15T09:40:03+00:00
TRAD_65c9a8470abf,occupation,OCC_77d8eb8af8c6,REMOTEOK,Interior Design Assistant (Revit and 3Ds Max,Assistant(e) en design d'intérieur (Revit et 3Ds Max),applied,ok,2026-07-15T09:40:03+00:00
TRAD_6d03a090f078,occupation,OCC_20f53a6b090c,REMOTEOK,Architectural Designer,Concepteur / Conceptrice en architecture,applied,ok,2026-07-15T09:40:03+00:00
TRAD_90a1197e6ed1,occupation,OCC_e77bc5408895,REMOTEOK,Interface Designer,Concepteur / Conceptrice d'interfaces,applied,ok,2026-07-15T09:40:03+00:00
TRAD_1567352f6e15,occupation,OCC_b415cabf36c7,REMOTEOK,UX UI Designer,Concepteur / Conceptrice UX/UI,applied,ok,2026-07-15T09:40:03+00:00
TRAD_d078e5b2630b,occupation,OCC_d393d2b655d6,REMOTEOK,The Hiring Process,Le processus de recrutement,applied,ok,2026-07-15T09:40:03+00:00
TRAD_341a53c9b980,occupation,OCC_1a2221215b68,REMOTEOK,CRM & Lifecycle Manager,Responsable CRM et cycle de vie client,applied,ok,2026-07-15T09:40:03+00:00
TRAD_210d3ed5e1fc,occupation,OCC_d3df557742ce,REMOTEOK,Junior Web Designer,Concepteur / Conceptrice web junior,applied,ok,2026-07-15T09:40:03+00:00
TRAD_7acea7ab863b,occupation,OCC_7781415f8e03,REMOTEOK,Graduate Data Scientist,Jeune diplômé(e) - Data Scientist,applied,ok,2026-07-15T09:40:03+00:00
TRAD_7b02978199b1,occupation,OCC_648dbc6a23f2,REMOTEOK,General Consideration Upload Your Resume Here,Candidature spontanée - Téléversez votre CV ici,applied,ok,2026-07-15T09:40:03+00:00
TRAD_e1f792434f34,occupation,OCC_233642eb3870,REMOTEOK,Social Media Coordinator,Coordinateur / Coordinatrice des réseaux sociaux,applied,ok,2026-07-15T09:40:03+00:00
TRAD_d45fa8d4e72f,occupation,OCC_0a2af15c9ee4,REMOTEOK,Director of Customer Success,Directeur / Directrice de la réussite client,applied,ok,2026-07-15T09:40:03+00:00
TRAD_0b221ae35885,occupation,OCC_5ee620e6a9b5,REMOTEOK,Illustrator,Illustrator,applied,nom propre conservé (non traduit),2026-07-15T09:40:03+00:00
TRAD_945e454adf95,occupation,OCC_27a8e3b4d62c,REMOTEOK,Billing Specialist,Spécialiste en facturation,applied,ok,2026-07-15T09:40:03+00:00
TRAD_8613fac99449,occupation,OCC_65f7753cbd14,REMOTEOK,Educational Programs Administrator,Administrateur / Administratrice de programmes éducatifs,applied,ok,2026-07-15T09:40:03+00:00
TRAD_d665dea4e786,occupation,OCC_5752988aa7ff,REMOTEOK,Key Accounts Executive,Chargé(e) de comptes clés,applied,ok,2026-07-15T09:40:03+00:00
TRAD_5115caf23e17,occupation,OCC_54b4adbd8f80,ARBEITNOW,Manager:in Kooperationen Jugend- & Frauenbasketball (all genders) in Vollzeit,Manager Coopérations - Basketball Jeunes et Féminin (tous genres) - Temps plein,applied,ok,2026-07-15T09:40:03+00:00
TRAD_583dad5f083a,occupation,OCC_3b84fd707ab1,ARBEITNOW,Senior Game Designer - Solitaire TriPeaks (Systems & Economy) - Fully Remote,Game Designer senior - Solitaire TriPeaks (Systèmes et économie) - Télétravail intégral,applied,ok,2026-07-15T09:40:03+00:00
TRAD_25170b8e0d19,occupation,OCC_dcfbee0bf2e2,ARBEITNOW,Microsoft 365 Administrator (m/w/d),Administrateur / Administratrice Microsoft 365 (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_f124f0c37d6e,occupation,OCC_30add5f5757a,ARBEITNOW,LIMS Consultant & Validation Expert (m/w/d),Consultant(e) LIMS et expert(e) en validation (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_36fd6adb33e9,occupation,OCC_4533932080ae,ARBEITNOW,Werkstudent Softwareentwicklung - Interne Tools & Automatisierung (m/w/d),Étudiant(e) salarié(e) - Développement logiciel - Outils internes et automatisation (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_d3b7ec1f91cf,occupation,OCC_4720bfd4a2a0,ARBEITNOW,Konstrukteur (m/w/d),Concepteur / Conceptrice mécanique (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_8afa307e7886,occupation,OCC_fafcc7c3e7fc,ARBEITNOW,"Steuerberater (m/w/d) in Hambrücken, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Hambrücken, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_ae6fd26b7120,occupation,OCC_e00f15cbde09,ARBEITNOW,"Steuerberater (m/w/d) in Gerbrunn, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Gerbrunn, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_11778e80cf8f,occupation,OCC_134082e9f91e,ARBEITNOW,"Steuerberater (m/w/d) in Ditzingen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Ditzingen, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_3efc6be9db88,occupation,OCC_6330162b9a2c,ARBEITNOW,"Steuerberater (m/w/d) in Winsen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Winsen, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_221e1422d795,occupation,OCC_db9f949d0e8c,ARBEITNOW,"Steuerberater (m/w/d) in Mühlingen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Mühlingen, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_2e2fd0ca6de5,occupation,OCC_ad4e7c4a6214,ARBEITNOW,"Steuerberater (m/w/d) in Ostrach, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Ostrach, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_60d97a0156f8,occupation,OCC_0a3688dc2883,ARBEITNOW,"Steuerberater (m/w/d) in Glattbach, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Glattbach, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_78158c68b4b1,occupation,OCC_60ade13e6a43,ARBEITNOW,"Steuerberater (m/w/d) in Fachbach, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Fachbach, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_ea562031e812,occupation,OCC_8a59698ac78b,ARBEITNOW,Junior Baumanager Wind / Junior Construction Manager Wind (m/w/d),Chef de projet construction junior - Éolien (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_42d1b628e7d1,occupation,OCC_941dbc8e121c,ARBEITNOW,Google-Ads Account Manager | Fokus E-Commerce (m/w/d) | Frankfurt am Main,Gestionnaire de compte Google Ads | Spécialisation e-commerce (H/F/D) | Frankfurt am Main,applied,ok,2026-07-15T09:40:03+00:00
TRAD_9c824af0b62a,occupation,OCC_62809dcd6eb7,ARBEITNOW,"Communication, Brand & Campaign Manager*in (m/w/d)","Responsable Communication, Marque et Campagnes (H/F/D)",applied,ok,2026-07-15T09:40:03+00:00
TRAD_ad154e678d17,occupation,OCC_9fb404d4f622,ARBEITNOW,Junior SEA/Google Ads-Account Manager | E-Commerce Fokus (m/w/d) | Frankfurt am Main,Gestionnaire de compte SEA/Google Ads junior | Spécialisation e-commerce (H/F/D) | Frankfurt am Main,applied,ok,2026-07-15T09:40:03+00:00
TRAD_b732bb002505,occupation,OCC_f75ad6da5f30,ARBEITNOW,Frontend Engineer (m/w/d),Ingénieur(e) Frontend (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_05d500396357,occupation,OCC_3568bf427685,ARBEITNOW,"Software Engineer - Automation & Operations (m/w/d, FT)","Ingénieur(e) logiciel - Automatisation et opérations (H/F/D, temps plein)",applied,ok,2026-07-15T09:40:03+00:00
TRAD_dad7df020671,occupation,OCC_61cc9ca73474,ARBEITNOW,Application Support Engineer (f/m/d),Ingénieur(e) support applicatif (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_13f6bd7cf9b9,occupation,OCC_97f1b74ad13e,ARBEITNOW,Stress Engineer (m/f/d),Ingénieur(e) calcul de structures (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_27d2efa11e15,occupation,OCC_4ea592580d67,ARBEITNOW,Technical Support Engineer - Romania,Ingénieur(e) support technique - Roumanie,applied,ok,2026-07-15T09:40:03+00:00
TRAD_3b5cb22fbcc8,occupation,OCC_61c4c4efb79b,ARBEITNOW,"Lead Social Media Campaigning, in Vollzeit",Responsable des campagnes sur les réseaux sociaux - Temps plein,applied,ok,2026-07-15T09:40:03+00:00
TRAD_b50841e498ce,occupation,OCC_0e0abf26f543,ARBEITNOW,Performance Marketer (m/w/d) - Meta Ads × AI × Creative Strategy | High-AOV E-Commerce,Spécialiste en marketing de performance (H/F/D) - Meta Ads × IA × Stratégie créative | E-commerce à panier moyen élevé,applied,ok,2026-07-15T09:40:03+00:00
TRAD_ec9d751ea693,occupation,OCC_b0b2cac153ee,ARBEITNOW,Growth Marketing Manager (m/w/d) Vollzeit / Remote,Responsable Growth Marketing (H/F/D) - Temps plein / Télétravail,applied,ok,2026-07-15T09:40:03+00:00
TRAD_2f7ee561fb31,occupation,OCC_8adbac8dcb63,ARBEITNOW,"Growth Marketer (m/w/d) Meta Ads für E-Commerce | AI-native Boutique-Agentur, Online Marketing","Spécialiste Growth Marketing (H/F/D) - Meta Ads pour l'e-commerce | Agence boutique native IA, marketing en ligne",applied,ok,2026-07-15T09:40:03+00:00
TRAD_d8744598de62,occupation,OCC_41c17d1e8957,ARBEITNOW,AI Solution Architect (m/w/d),Architecte de solutions IA (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_98a365edd15b,occupation,OCC_88496659bc48,ARBEITNOW,Senior Software Engineer / ML Engineer (m/w/x) im Bildungsumfeld / Remote,Ingénieur(e) logiciel senior / Ingénieur(e) ML (H/F/X) - Secteur de l'éducation / Télétravail,applied,ok,2026-07-15T09:40:03+00:00
TRAD_a855dccf01fa,occupation,OCC_e88927698e41,ARBEITNOW,Entwicklungsingenieur (m/w/d) Biosensoren in Mannheim (1701),Ingénieur(e) de développement (H/F/D) - Biocapteurs à Mannheim (1701),applied,ok,2026-07-15T09:40:03+00:00
TRAD_4dab5b7c52ea,occupation,OCC_7f69d3fb1a62,ARBEITNOW,BI Consultant / Power BI & Microsoft Fabric Spezialist (m/w/d),Consultant(e) BI / Spécialiste Power BI et Microsoft Fabric (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_493f3dd189ca,occupation,OCC_f006a0e01c67,ARBEITNOW,Purchase Manager / Einkaufsleiter (m/w/d) mit Erfahrung,Responsable des achats (H/F/D) expérimenté(e),applied,ok,2026-07-15T09:40:03+00:00
TRAD_866bbe6ded2a,occupation,OCC_77117619e46e,ARBEITNOW,SOC Consultant (Security Operations Center) (m/w/d),Consultant(e) SOC (Centre des opérations de sécurité) (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_d31bd8ddda53,occupation,OCC_8ef1e9943198,ARBEITNOW,"Chatsetter / Vorqualifizierung (m/w/d) - selbstständige, nebenberufliche Tätigkeit","Chatsetter / Préqualification (H/F/D) - activité indépendante, à temps partiel en complément",applied,ok,2026-07-15T09:40:03+00:00
TRAD_9303da791c97,occupation,OCC_5d343c03bfac,ARBEITNOW,Product Owner Agent Assist & User Platforms (m/w/d),Product Owner - Agent Assist et User Platforms (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_c287c09720c9,occupation,OCC_b47b635dd3a8,ARBEITNOW,Software Engineer (w/m/d) - Wien | Hamburg | Frankfurt,Ingénieur(e) logiciel (H/F/D) - Vienne | Hambourg | Francfort,applied,ok,2026-07-15T09:40:03+00:00
TRAD_6addf8269fb1,occupation,OCC_9b420ddd07b8,ARBEITNOW,Bauüberwacher Bahn (m/w/d) Oberbau & Konstruktiver Ingenieurbau | München,Surveillant(e) de travaux ferroviaires (H/F/D) - Infrastructure ferroviaire et génie civil structurel | Munich,applied,ok,2026-07-15T09:40:03+00:00
TRAD_1bb1c37ae8b6,occupation,OCC_d13dc12649ed,ARBEITNOW,Co-Team-Lead & Senior Developer (w/m/d) - Hamburg | Frankfurt | Wien,Co-responsable d'équipe et développeur(euse) senior (H/F/D) - Hambourg | Francfort | Vienne,applied,ok,2026-07-15T09:40:03+00:00
TRAD_6c8af79439df,occupation,OCC_d948abd2348d,ARBEITNOW,Digital Campaign Manager,Responsable de campagnes numériques,applied,ok,2026-07-15T09:40:03+00:00
TRAD_739173bc537f,occupation,OCC_1bb89a04e3bf,ARBEITNOW,Robotics / Embedded Software Engineer (m/f/d),Ingénieur(e) en robotique / logiciel embarqué (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_603443a41c4c,occupation,OCC_9dfb8a8e4b63,ARBEITNOW,Full Stack Platform Engineer (m/f/d),Ingénieur(e) plateforme Full Stack (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_fbf1c2bf2531,occupation,OCC_cf9385ee6570,ARBEITNOW,"Staff Software Engineer - AI Data Platform & Snowflake (d/f/m, Berlin)","Ingénieur(e) logiciel confirmé(e) - Plateforme de données IA et Snowflake (H/F/D, Berlin)",applied,ok,2026-07-15T09:40:03+00:00
TRAD_a733088c224b,occupation,OCC_27e8294e0a68,ARBEITNOW,"Principal Governance, Risk and Compliance (GRC) Architect","Architecte principal(e) Gouvernance, Risque et Conformité (GRC)",applied,ok,2026-07-15T09:40:03+00:00
TRAD_fe31b69b2fbd,occupation,OCC_ea877a4a9a11,ARBEITNOW,Infrastructure Engineer / DevOps (m/w/d),Ingénieur(e) infrastructure / DevOps (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_9922583734e2,occupation,OCC_356ac99cca16,ARBEITNOW,Senior Cost Engineer (gn),Ingénieur(e) coûts senior (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_daf51100b777,occupation,OCC_ef12d6a864e0,ARBEITNOW,Managed Security Services Advisor (m/w/d),Conseiller / Conseillère en services de sécurité managés (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_b9fe91e5b08f,occupation,OCC_8d4b27c92032,ARBEITNOW,"Initiativbewerbung Bau & Infrastruktur (gn) | Bauleiter, Kalkulator, Projektleiter","Candidature spontanée - Construction et infrastructure (H/F/D) | Chef de chantier, métreur, chef de projet",applied,ok,2026-07-15T09:40:03+00:00
TRAD_787bd96d823f,occupation,OCC_45b81edc9b79,ARBEITNOW,Programmierer / Automatisierungstechniker (w/m/d),Programmeur/euse / Technicien(ne) en automatisation (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_dbe8186d4f9a,occupation,OCC_498759db14be,ARBEITNOW,Quality Assurance Engineer (m/f/d),Ingénieur(e) assurance qualité (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_b5d1f9ccdd7b,occupation,OCC_e52569128fe5,ARBEITNOW,Senior Product Engineer (m/w/d),Ingénieur(e) produit senior (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_f1be94bf289a,occupation,OCC_06920ec91fba,ARBEITNOW,"Steuerberater (m/w/d) in Wiesloch, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Wiesloch, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_ae810d592f62,occupation,OCC_fbfac30acaad,ARBEITNOW,"Steuerberater (m/w/d) in Ayl, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Ayl, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_e2a95a48d976,occupation,OCC_33a53b79f008,ARBEITNOW,"Steuerberater (m/w/d) in Ingersheim, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Ingersheim, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_79e30d4415f8,occupation,OCC_82ba9632c664,ARBEITNOW,"Steuerberater (m/w/d) in Gelsenkirchen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Gelsenkirchen, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_783e06a4285e,occupation,OCC_9e06edf22e03,ARBEITNOW,"Steuerberater (m/w/d) in Beuren, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Beuren, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_4adab7440188,occupation,OCC_a50f158911fd,ARBEITNOW,"Steuerberater (m/w/d) in Bruchsal, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Bruchsal, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_9337147fc78a,occupation,OCC_dbf2e11ea29b,ARBEITNOW,"Steuerberater (m/w/d) in Kusel, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Kusel, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_7297c59f94e3,occupation,OCC_233cd4d87e99,ARBEITNOW,"Steuerberater (m/w/d) in Lindau, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€","Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Lindau, avec perspective d'association sur demande - à partir de 90 000 €",applied,ok,2026-07-15T09:40:03+00:00
TRAD_a549c0a18b3c,occupation,OCC_4cf9a4c09f8b,ARBEITNOW,Human Resources Assistant (m/w/d) - Teilzeit 20-25 Wochenstunden,Assistant(e) Ressources Humaines (H/F/D) - Temps partiel 20-25 heures par semaine,applied,ok,2026-07-15T09:40:03+00:00
TRAD_09903ecf871f,occupation,OCC_c81768051e3f,ARBEITNOW,Projektkoordination Softwareprojekte (m/w/d) | Berlin-Mitte | Teilzeit/Vollzeit,Coordinateur / Coordinatrice de projets logiciels (H/F/D) | Berlin-Mitte | Temps partiel/Temps plein,applied,ok,2026-07-15T09:40:03+00:00
TRAD_87064a1bbfea,occupation,OCC_6fc64070190a,ARBEITNOW,Founder's Associate - AI & Process Optimisation (Intern & Fulltime),Associé(e) du fondateur - IA et optimisation des processus (Stage et temps plein),applied,ok,2026-07-15T09:40:03+00:00
TRAD_e5235762e92a,occupation,OCC_3ce7ca6b20a1,ARBEITNOW,Werkstudent*in Webentwicklung und KI-Automatisierung (m/w/d),Étudiant(e) salarié(e) - Développement web et automatisation IA (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_e5def6576661,occupation,OCC_6622b2e6404b,ARBEITNOW,Head of Product & Engineering (m/w/d),Directeur / Directrice Produit et Ingénierie (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_519e44f8bc4f,occupation,OCC_1b0eea60efa5,ARBEITNOW,"HubSpot CRM Consultant - Sales, Marketing & Service Hub (m/w/d)","Consultant(e) HubSpot CRM - Sales, Marketing & Service Hub (H/F/D)",applied,ok,2026-07-15T09:40:03+00:00
TRAD_2a1dd5066d6c,occupation,OCC_afd726718043,ARBEITNOW,Mechatroniker (m/w/d) für Robotik & Automatisierung,Mécatronicien / Mécatronicienne (H/F/D) - Robotique et automatisation,applied,ok,2026-07-15T09:40:03+00:00
TRAD_cb7d5ccc8b39,occupation,OCC_d4d0cb4ec6d2,ARBEITNOW,Working Student: QA Automation Engineering (m/f/d),Étudiant(e) salarié(e) : Ingénierie d'automatisation QA (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_3d8d50c8dfc3,occupation,OCC_1baa9094411a,ARBEITNOW,Video Editor*in GESUCHT! - Freelance / Vollzeit,Monteur / Monteuse vidéo RECHERCHÉ(E) ! - Freelance / Temps plein,applied,ok,2026-07-15T09:40:03+00:00
TRAD_fc986f2402ce,occupation,OCC_b46dac6412d2,ARBEITNOW,Exklusiv: Technischer Property Manager (m/w/d) | hochwertiges Immobilienportfolio | bis ca. 80k € Jahresgehalt | Homeoffice | zentrale Lage in München,Exclusif : Gestionnaire technique de biens immobiliers (H/F/D) | portefeuille immobilier haut de gamme | jusqu'à environ 80 000 € de salaire annuel | télétravail | emplacement central à Munich,applied,ok,2026-07-15T09:40:03+00:00
TRAD_d2506cee58fa,occupation,OCC_ee0ddbbdc92c,ARBEITNOW,Frontend Developer E-Commerce (w/m/d),Développeur / Développeuse Frontend E-Commerce (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_a46ce7bb4afe,occupation,OCC_8bf3aa81e931,ARBEITNOW,(Senior) IT Operations Engineer (gn),Ingénieur(e) (senior) IT Operations (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_16d22e03665a,occupation,OCC_eb475bc6322d,ARBEITNOW,Lead IT Operations Engineer (gn),Responsable Ingénieur(e) IT Operations (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_b565e301bf9b,occupation,OCC_d6208f2780c6,ARBEITNOW,IT Operations Engineer (gn),Ingénieur(e) IT Operations (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_580496eb784e,occupation,OCC_a281f922ffc2,ARBEITNOW,Werkstudent Product Owner für Softwareprojekte (m/w/d),Étudiant(e) salarié(e) - Product Owner pour projets logiciels (H/F/D),applied,ok,2026-07-15T09:40:03+00:00
TRAD_8db0095a1714,occupation,OCC_fe42133b7839,ARBEITNOW,Senior Machine Learning Engineer (m/f/*),Ingénieur(e) senior en apprentissage automatique (H/F/*),applied,ok,2026-07-15T09:40:03+00:00
