gold,label_a,label_b,relation,confidence,source_a,source_b,entity_id_a,entity_id_b,method
1,Responsable de la production informatique,responsable de la planification de la capacité informatique,skos:closeMatch,0.794,ROME,ESCO,OCC_91c7799dadef,OCC_e1b1773585de,embeddings
0,Ingénieur / Ingénieure en informatique embarquée,informaticien/informaticienne,skos:closeMatch,0.792,ROME,ESCO,OCC_3b2885fc44e3,OCC_727ec0d8350c,embeddings
0,Administrateur / Administratrice sécurité informatique,Conseiller / Conseillère en services de sécurité managés (H/F/D),skos:closeMatch,0.789,ROME,ARBEITNOW,OCC_6d24adb3285c,OCC_ef12d6a864e0,embeddings
1,responsable du service d’assistance informatique,Responsable des études et applications informatiques,skos:closeMatch,0.786,ESCO,ROME,OCC_127c8b092532,OCC_e16c45181fb8,embeddings
0,consultant en recherche informatique/consultante en recherche informatique,Consultant / Consultante avant-vente,skos:closeMatch,0.784,ESCO,ROME,OCC_106b6f022c02,OCC_3dd25c7bc53e,embeddings
1,Analyste décisionnel - Business Intelligence,Analyste d'affaires,skos:closeMatch,0.783,ROME,REMOTEOK,OCC_4fedfaca20de,OCC_d9115408ab56,embeddings
1,analyste de système informatique,Analyste Concepteur / Conceptrice informatique,skos:closeMatch,0.781,ESCO,ROME,OCC_20596f0afee7,OCC_6208e1876753,embeddings
1,technicien en sécurité informatique/technicienne en sécurité informatique,"Ingénieur / Ingénieure systèmes, réseaux et sécurité informatique",skos:closeMatch,0.779,ESCO,ROME,OCC_47b1b32e81f9,OCC_6ccbe5fe0132,embeddings
0,ingénieur en vision par ordinateur/ingénieure en vision par ordinateur,Ingénieur informaticien / Ingénieure informaticienne,skos:closeMatch,0.778,ESCO,ROME,OCC_991dd4068ca0,OCC_e02a62ee28e8,embeddings
0,Ingénieur concepteur / Ingénieure conceptrice informatique,ingénieur de la connaissance/ingénieure de la connaissance,skos:closeMatch,0.778,ROME,ESCO,OCC_286d9da07b4d,OCC_e29ace1e3e50,embeddings
1,Analyste SOC (Security Operations Center),Consultant(e) SOC (Centre des opérations de sécurité) (H/F/D),skos:closeMatch,0.775,ROME,ARBEITNOW,OCC_7342748ca544,OCC_77117619e46e,embeddings
1,Spécialiste test et validation logiciel ou application,testeur d’utilisabilité/testeuse d’utilisabilité,skos:closeMatch,0.774,ROME,ESCO,OCC_2523d083789d,OCC_59802a0ba34e,embeddings
1,administrateur de systèmes informatiques/administratrice de systèmes informatiques,Administrateur / Administratrice de systèmes d'information (SI),skos:closeMatch,0.774,ESCO,ROME,OCC_6cb6d62106d9,OCC_98d19aeea9a4,embeddings
0,administrateur de systèmes informatiques/administratrice de systèmes informatiques,Administrateur / Administratrice de messagerie,skos:closeMatch,0.772,ESCO,ROME,OCC_6cb6d62106d9,OCC_7d00df02eb9d,embeddings
1,ingénieur en intelligence artificielle/ingénieure en intelligence artificielle,Ingénieur / Ingénieure en Intelligence Artificielle (IA),skos:closeMatch,0.771,ESCO,ROME,OCC_80660e3c36ff,OCC_ec6735d1a243,embeddings
1,Gestionnaire de base de données,intégrateur de base de données/intégratrice de base de données,skos:closeMatch,0.771,ROME,ESCO,OCC_164e408e096f,OCC_69eaea4542b3,embeddings
1,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques,Expert / Experte systèmes et réseaux informatiques,skos:closeMatch,0.771,ESCO,ROME,OCC_6836ed031e87,OCC_c44a9eaae6e7,embeddings
0,Technicien / Technicienne d'exploitation informatique,concepteur de systèmes informatiques/conceptrice de systèmes informatiques,skos:closeMatch,0.767,ROME,ESCO,OCC_1ce0e8031f25,OCC_9e5778cecf8d,embeddings
1,Ingénieur(e) infrastructure / DevOps (H/F/D),Ingénieur / Ingénieure DevOps,skos:closeMatch,0.759,ARBEITNOW,ROME,OCC_ea877a4a9a11,OCC_eab9b08d024c,embeddings
0,Administrateur / Administratrice sécurité informatique,agent de service d’assistance informatique/agente de service d’assistance informatique,skos:closeMatch,0.758,ROME,ESCO,OCC_6d24adb3285c,OCC_708b91f0f734,embeddings
0,administrateur sécurité informatique/administratrice sécurité informatique,Conseiller / Conseillère en services de sécurité managés (H/F/D),skos:closeMatch,0.757,ESCO,ARBEITNOW,OCC_a0cecf937326,OCC_ef12d6a864e0,embeddings
1,Evaluateur / Evaluatrice sécurité des systèmes et produits informatiques,ingénieur en sécurité des systèmes intégrés/ingénieure en sécurité des systèmes intégrés,skos:closeMatch,0.757,ROME,ESCO,OCC_9f440c1548b6,OCC_b0446201413b,embeddings
0,Ingénieur / Ingénieure sécurité web,gestionnaire des risques en cybersécurité,skos:closeMatch,0.757,ROME,ESCO,OCC_54194a8e4af5,OCC_9113c1374afd,embeddings
0,Analyste d'étude informatique,scientifique des données,skos:closeMatch,0.755,ROME,ESCO,OCC_5fafb471f4aa,OCC_7bde92a813dd,embeddings
1,Spécialiste test et validation logiciel ou application,testeur de systèmes informatiques/testeuse de systèmes informatiques,skos:closeMatch,0.755,ROME,ESCO,OCC_2523d083789d,OCC_b46ed0bc22d0,embeddings
1,Technicien / Technicienne d'exploitation informatique,programmeur en informatique industrielle/programmeuse en informatique industrielle,skos:closeMatch,0.755,ROME,ESCO,OCC_1ce0e8031f25,OCC_9f67438781d4,embeddings
1,Technicien / Technicienne d'exploitation informatique,Programmeur/euse / Technicien(ne) en automatisation (H/F/D),skos:closeMatch,0.753,ROME,ARBEITNOW,OCC_1ce0e8031f25,OCC_45b81edc9b79,embeddings
1,Chef / Cheffe de projet étude et développement informatique,concepteur de logiciels/conceptrice de logiciels,skos:closeMatch,0.751,ROME,ESCO,OCC_09b65ca00490,OCC_fa1704d164c5,embeddings
1,spécialiste de l’investigation numérique,Analyste d'étude informatique,skos:closeMatch,0.75,ESCO,ROME,OCC_46b37f0135cb,OCC_5fafb471f4aa,embeddings
1,Analyste d'étude informatique,analyste de la reprise des activités informatiques,skos:closeMatch,0.749,ROME,ESCO,OCC_5fafb471f4aa,OCC_cbee4548194c,embeddings
0,analyste de système informatique,Expert / Experte méthodes et qualité informatique,skos:closeMatch,0.749,ESCO,ROME,OCC_20596f0afee7,OCC_336e0a8cfc0b,embeddings
1,Informaticien(ne) spécialisé(e) en intégration de systèmes (H/F/D),concepteur de systèmes informatiques intégrés/conceptrice de systèmes informatiques intégrés,skos:closeMatch,0.748,ARBEITNOW,ESCO,OCC_3cacf2bb2b93,OCC_89f4b0de8aeb,embeddings
1,concepteur d’interface utilisateur/conceptrice d’interface utilisatrice,Concepteur / Conceptrice d'interfaces,skos:closeMatch,0.748,ESCO,REMOTEOK,OCC_340f51445866,OCC_e77bc5408895,embeddings
1,Analyste d'application informatique,analyste d’expérience utilisateur,skos:closeMatch,0.748,ROME,ESCO,OCC_085a2958b6aa,OCC_7ca8931aad99,embeddings
1,responsable de la sécurité des TIC,Architecte sécurité informatique,skos:closeMatch,0.746,ESCO,ROME,OCC_3ea9dcd66347,OCC_8d1f9f4c93ee,embeddings
1,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,consultant informatique/consultante informatique,skos:closeMatch,0.746,ROME,ESCO,OCC_2088e2ac84a9,OCC_30549a5affd9,embeddings
1,développeur/développeuse de logiciels cloud,Technicien / Technicienne Cloud,skos:closeMatch,0.746,ESCO,ROME,OCC_02a46f9d3b88,OCC_4cb0c0a25225,embeddings
1,Gestionnaire de base de données,Agent administratif de saisie de données et de classement,skos:closeMatch,0.746,ROME,REMOTEOK,OCC_164e408e096f,OCC_b9e95ef30857,embeddings
1,analyste qualité des données,Analyste de données - Secteur de la santé,skos:closeMatch,0.744,ESCO,REMOTEOK,OCC_7c028d934ec6,OCC_c2f30bbdb638,embeddings
1,architecte d’entreprise,Concepteur / Conceptrice en architecture,skos:closeMatch,0.74,ESCO,REMOTEOK,OCC_01372aeb8cb5,OCC_20f53a6b090c,embeddings
1,Chef / Cheffe de projet étude et développement informatique,Chef d'équipe (H/F/D) Recherche et Développement - Outils et Infrastructure,skos:closeMatch,0.738,ROME,ARBEITNOW,OCC_09b65ca00490,OCC_5ba0f9300746,embeddings
1,"Chef d'équipe - Planification réseau, déploiement fibre optique subventionné (H/F/D)",Responsable d'exploitation fibre optique,skos:closeMatch,0.738,ARBEITNOW,ROME,OCC_4d34f0a4a62c,OCC_6c87c4d3e182,embeddings
0,consultant en recherche informatique/consultante en recherche informatique,Directeur / Directrice de projet en informatique,skos:closeMatch,0.738,ESCO,ROME,OCC_106b6f022c02,OCC_5dccaa0f70e3,embeddings
1,Ingénieur concepteur / Ingénieure conceptrice informatique,Concepteur / Conceptrice UX/UI,skos:closeMatch,0.736,ROME,REMOTEOK,OCC_286d9da07b4d,OCC_b415cabf36c7,embeddings
0,Analyste Concepteur / Conceptrice informatique,Analyste d'affaires,skos:closeMatch,0.736,ROME,REMOTEOK,OCC_6208e1876753,OCC_d9115408ab56,embeddings
0,Ingénieur informaticien / Ingénieure informaticienne,ingénieur en informatique en nuage/ingénieure en informatique en nuage,skos:closeMatch,0.735,ROME,ESCO,OCC_e02a62ee28e8,OCC_ff4e73f258e8,embeddings
1,Ingénieur / Ingénieure Cloud computing,ingénieur DevOps cloud/ingénieure DevOps cloud,skos:closeMatch,0.734,ROME,ESCO,OCC_5a5307f6b57c,OCC_c79207b250ca,embeddings
1,Technicien / Technicienne d'exploitation informatique,concepteur de systèmes informatiques intégrés/conceptrice de systèmes informatiques intégrés,skos:closeMatch,0.733,ROME,ESCO,OCC_1ce0e8031f25,OCC_89f4b0de8aeb,embeddings
1,Développeur / Développeuse informatique,Développeur / Développeuse logiciel senior (H/F/D),skos:closeMatch,0.727,ROME,ARBEITNOW,OCC_4243894cf004,OCC_cbba626eede9,embeddings
1,webmestre,Développeur / Développeuse web,skos:closeMatch,0.727,ESCO,ROME,OCC_1cd71aaf46fd,OCC_c506a18083b7,embeddings
1,Ingénieur / Ingénieure Cloud computing,responsable de l'identité cloud,skos:closeMatch,0.725,ROME,ESCO,OCC_5a5307f6b57c,OCC_5bfe9fc9c093,embeddings
1,Ingénieur(e) assurance qualité (H/F/D),responsable de l’assurance qualité informatique,skos:closeMatch,0.724,ARBEITNOW,ESCO,OCC_498759db14be,OCC_b01b8def641d,embeddings
0,Développeur / Développeuse multimédia,développeur de jeux numériques/développeuse de jeux numériques,skos:closeMatch,0.724,ROME,ESCO,OCC_073f57ae50f2,OCC_554c5e421f89,embeddings
1,Chef d'équipe (H/F/D) Recherche et Développement - Outils et Infrastructure,Directeur / Directrice de projet en informatique,skos:closeMatch,0.722,ARBEITNOW,ROME,OCC_5ba0f9300746,OCC_5dccaa0f70e3,embeddings
1,Ingénieur / Ingénieure Cybersécurité Datacenter,gestionnaire des risques en cybersécurité,skos:closeMatch,0.721,ROME,ESCO,OCC_0194b59e1846,OCC_9113c1374afd,embeddings
0,webmestre,Chef / Cheffe de projet Web,skos:closeMatch,0.717,ESCO,ROME,OCC_1cd71aaf46fd,OCC_8afef792d150,embeddings
1,analyste logiciel,Analyste d'affaires,skos:closeMatch,0.713,ESCO,REMOTEOK,OCC_6b1c7257ba1b,OCC_d9115408ab56,embeddings
0,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,opérateur de centre de données/opératrice de centre de données,skos:closeMatch,0.711,ROME,ESCO,OCC_2088e2ac84a9,OCC_9c9233e004da,embeddings
1,Chef de projet / Cheffe de projet (Project Management Officer),Chef d'équipe (H/F/D) Recherche et Développement - Outils et Infrastructure,skos:closeMatch,0.71,ROME,ARBEITNOW,OCC_21efe6cdd8d9,OCC_5ba0f9300746,embeddings
1,Qualiticien / Qualiticienne logiciel en informatique,concepteur de logiciels/conceptrice de logiciels,skos:closeMatch,0.71,ROME,ESCO,OCC_da40f63e4373,OCC_fa1704d164c5,embeddings
1,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques,Expert / Experte en communication et réseaux,skos:closeMatch,0.71,ESCO,ROME,OCC_6836ed031e87,OCC_b7befaa6cd86,embeddings
0,scientifique des données,Spécialiste en saisie de données,skos:closeMatch,0.706,ESCO,REMOTEOK,OCC_7bde92a813dd,OCC_a196178f2449,embeddings
1,Développeur / Développeuse logiciel senior (H/F/D),développeur de logiciels/développeuse de logiciels,skos:closeMatch,0.705,ARBEITNOW,ESCO,OCC_cbba626eede9,OCC_e57061351bc6,embeddings
1,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,consultant en intégration de systèmes informatiques/consultante en intégration de systèmes informatiques,skos:closeMatch,0.705,ROME,ESCO,OCC_2088e2ac84a9,OCC_af41616819b5,embeddings
1,Architecte systèmes et réseaux des territoires connectés,architecte de réseau,skos:closeMatch,0.705,ROME,ESCO,OCC_b6f0c15f7803,OCC_bd1d7a63edf2,embeddings
1,Programmeur/euse / Technicien(ne) en automatisation (H/F/D),concepteur de systèmes informatiques/conceptrice de systèmes informatiques,skos:closeMatch,0.704,ARBEITNOW,ESCO,OCC_45b81edc9b79,OCC_9e5778cecf8d,embeddings
0,Développeur / Développeuse web,Développeur / Développeuse Frontend E-Commerce (H/F/D),skos:closeMatch,0.704,ROME,ARBEITNOW,OCC_c506a18083b7,OCC_ee0ddbbdc92c,embeddings
1,Chef de produit - IA,Product Owner,skos:closeMatch,0.704,REMOTEOK,ROME,OCC_2e0e260cb4d7,OCC_3946835718f5,embeddings
1,Concepteur / Conceptrice en architecture,Ingénieur concepteur / Ingénieure conceptrice informatique,skos:closeMatch,0.704,REMOTEOK,ROME,OCC_20f53a6b090c,OCC_286d9da07b4d,embeddings
1,développeur de chaînes de blocs/développeuse de chaînes de blocs,Développeur / Développeuse blockchain,skos:closeMatch,0.703,ESCO,ROME,OCC_a4f72755e1ad,OCC_f98f0e96ecac,embeddings
0,consultant informatique/consultante informatique,Coordinateur / Coordinatrice de production web,skos:closeMatch,0.702,ESCO,ROME,OCC_30549a5affd9,OCC_8febad416722,embeddings
1,Directeur / Directrice de projet en informatique,Directeur / Directrice Produit et Ingénierie (H/F/D),skos:relatedMatch,0.699,ROME,ARBEITNOW,OCC_5dccaa0f70e3,OCC_6622b2e6404b,embeddings
0,Administrateur / Administratrice sécurité informatique,Administrateur / Administratrice IT senior (H/F/D),skos:relatedMatch,0.697,ROME,ARBEITNOW,OCC_6d24adb3285c,OCC_c8e3c9cb6c38,embeddings
0,Gestionnaire d'applications système d'information,opérateur de centre de données/opératrice de centre de données,skos:relatedMatch,0.697,ROME,ESCO,OCC_5575a38586ce,OCC_9c9233e004da,embeddings
0,responsable du service d’assistance informatique,Chef / Cheffe de projet Maîtrise d'Ouvrage des Systèmes d'Information (MOA),skos:relatedMatch,0.697,ESCO,ROME,OCC_127c8b092532,OCC_7139e09be76c,embeddings
1,Analyste Concepteur / Conceptrice informatique,Analyste senior - Support de projet,skos:relatedMatch,0.697,ROME,REMOTEOK,OCC_6208e1876753,OCC_a55aa629a66b,embeddings
0,responsable du service d’assistance informatique,Consultant(e) SOC (Centre des opérations de sécurité) (H/F/D),skos:relatedMatch,0.696,ESCO,ARBEITNOW,OCC_127c8b092532,OCC_77117619e46e,embeddings
1,Chef / Cheffe de projet réseau fixe et mobile,architecte de réseau,skos:relatedMatch,0.694,ROME,ESCO,OCC_734c5ae6a3df,OCC_bd1d7a63edf2,embeddings
1,administrateur de systèmes informatiques/administratrice de systèmes informatiques,Administrateur / Administratrice IT senior (H/F/D),skos:relatedMatch,0.693,ESCO,ARBEITNOW,OCC_6cb6d62106d9,OCC_c8e3c9cb6c38,embeddings
0,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,auditeur des systèmes d’information/auditrice des systèmes d’information,skos:relatedMatch,0.693,ROME,ESCO,OCC_2088e2ac84a9,OCC_7d8d0e4e5d42,embeddings
0,responsable du service d’assistance informatique,Gestionnaire de parc informatique,skos:relatedMatch,0.693,ESCO,ROME,OCC_127c8b092532,OCC_b847e63cc092,embeddings
1,responsable du service d’assistance informatique,Directeur / Directrice des systèmes d'information (DSI),skos:relatedMatch,0.692,ESCO,ROME,OCC_127c8b092532,OCC_4a2781037768,embeddings
1,Administrateur / Administratrice de systèmes d'information (SI),Administrateur / Administratrice IT senior (H/F/D),skos:relatedMatch,0.691,ROME,ARBEITNOW,OCC_98d19aeea9a4,OCC_c8e3c9cb6c38,embeddings
1,Analyste d'étude informatique,Analyste d'affaires,skos:relatedMatch,0.69,ROME,REMOTEOK,OCC_5fafb471f4aa,OCC_d9115408ab56,embeddings
1,Chef de produit - IA,Chef de produit technique (Lead/Senior) - Ingénierie plateforme (H/F/D),skos:relatedMatch,0.687,REMOTEOK,ARBEITNOW,OCC_2e0e260cb4d7,OCC_8d76388f9989,embeddings
1,administrateur de base de données/administratrice de base de données,Agent administratif de saisie de données et de classement,skos:relatedMatch,0.687,ESCO,REMOTEOK,OCC_759562b3dd51,OCC_b9e95ef30857,embeddings
