entity_id_a,source_a,entity_id_b,source_b,relation,confidence,method,validated,notes
OCC_727ec0d8350c,ESCO,OCC_e02a62ee28e8,ROME,skos:closeMatch,0.888,embeddings,pending,informaticien/informaticienne <> Ingénieur informaticien / Ingénieure informaticienne
OCC_085a2958b6aa,ROME,OCC_6b1c7257ba1b,ESCO,skos:closeMatch,0.886,embeddings,pending,Analyste d'application informatique <> analyste logiciel
OCC_22a265df20e2,ROME,OCC_fa1704d164c5,ESCO,skos:closeMatch,0.884,embeddings,pending,Intégrateur / Intégratrice logiciels métiers <> concepteur de logiciels/conceptrice de logiciels
OCC_164e408e096f,ROME,OCC_65014a542c78,ESCO,skos:closeMatch,0.883,embeddings,pending,Gestionnaire de base de données <> concepteur de bases de données /conceptrice de bases de données
OCC_e02a62ee28e8,ROME,OCC_f609b6bc11bf,ESCO,skos:closeMatch,0.876,embeddings,pending,Ingénieur informaticien / Ingénieure informaticienne <> technicien de réseau informatique/technicienne de réseau informatique
OCC_050f179f19d8,ROME,OCC_727ec0d8350c,ESCO,skos:closeMatch,0.868,embeddings,pending,Ingénieur / Ingénieure d'étude informatique <> informaticien/informaticienne
OCC_22a265df20e2,ROME,OCC_e57061351bc6,ESCO,skos:closeMatch,0.866,embeddings,pending,Intégrateur / Intégratrice logiciels métiers <> développeur de logiciels/développeuse de logiciels
OCC_47b1b32e81f9,ESCO,OCC_7f18f2f19e2a,ROME,skos:closeMatch,0.862,embeddings,pending,technicien en sécurité informatique/technicienne en sécurité informatique <> Technicien / Technicienne en cybersécurité
OCC_940b6385dcd1,ROME,OCC_f609b6bc11bf,ESCO,skos:closeMatch,0.862,embeddings,pending,Technicien / Technicienne réseaux informatiques et télécoms <> technicien de réseau informatique/technicienne de réseau informatique
OCC_2523d083789d,ROME,OCC_3e502e92822a,ESCO,skos:closeMatch,0.861,embeddings,pending,Spécialiste test et validation logiciel ou application <> testeur de logiciels/testeuse de logiciels
OCC_53745b14cb87,ROME,OCC_aa3336017d8a,ESCO,skos:closeMatch,0.854,embeddings,pending,Administrateur / Administratrice de site internet <> administrateur de contenu web/administratrice de contenu web
OCC_14d19ed15436,ESCO,OCC_286d9da07b4d,ROME,skos:closeMatch,0.851,embeddings,pending,technicien informatique/technicienne informatique <> Ingénieur concepteur / Ingénieure conceptrice informatique
OCC_21715cbb5d2f,ROME,OCC_bd1d7a63edf2,ESCO,skos:closeMatch,0.847,embeddings,pending,Architecte systèmes et réseaux <> architecte de réseau
OCC_07647950ddea,ESCO,OCC_8a0009547b60,ROME,skos:closeMatch,0.841,embeddings,pending,administrateur de réseau informatique/administratrice de réseau informatique <> Administrateur / Administratrice réseaux - télécoms
OCC_65014a542c78,ESCO,OCC_9e721c3b1a5c,ROME,skos:closeMatch,0.838,embeddings,pending,concepteur de bases de données /conceptrice de bases de données <> Architecte base de données
OCC_4243894cf004,ROME,OCC_e57061351bc6,ESCO,skos:closeMatch,0.836,embeddings,pending,Développeur / Développeuse informatique <> développeur de logiciels/développeuse de logiciels
OCC_af0b4023ea6c,ESCO,OCC_afe0af7ee789,ROME,skos:closeMatch,0.83,embeddings,pending,développeur IoT/développeuse IoT <> Architecte IoT - Internet des Objets
OCC_d6a2ea4adc66,ROME,OCC_e57061351bc6,ESCO,skos:closeMatch,0.829,embeddings,pending,Développeur / Développeuse logiciel ou d'application <> développeur de logiciels/développeuse de logiciels
OCC_4def1bedc140,ROME,OCC_9113c1374afd,ESCO,skos:closeMatch,0.828,embeddings,pending,Expert / Experte en cybersécurité <> gestionnaire des risques en cybersécurité
OCC_02a46f9d3b88,ESCO,OCC_5a5307f6b57c,ROME,skos:closeMatch,0.826,embeddings,pending,développeur/développeuse de logiciels cloud <> Ingénieur / Ingénieure Cloud computing
OCC_6cb6d62106d9,ESCO,OCC_6d24adb3285c,ROME,skos:closeMatch,0.823,embeddings,pending,administrateur de systèmes informatiques/administratrice de systèmes informatiques <> Administrateur / Administratrice sécurité informatique
OCC_7781415f8e03,REMOTEOK,OCC_7bde92a813dd,ESCO,skos:closeMatch,0.821,embeddings,pending,Jeune diplômé(e) - Data Scientist <> scientifique des données
OCC_6836ed031e87,ESCO,OCC_e02a62ee28e8,ROME,skos:closeMatch,0.82,embeddings,pending,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques <> Ingénieur informaticien / Ingénieure informaticienne
OCC_22a265df20e2,ROME,OCC_cd04c9fb1a40,ESCO,skos:closeMatch,0.811,embeddings,pending,Intégrateur / Intégratrice logiciels métiers <> concepteur de logiciels d’application/conceptrice de logiciels d’application
OCC_11d84dbfc1bc,ESCO,OCC_9e721c3b1a5c,ROME,skos:closeMatch,0.809,embeddings,pending,développeur de base de données/développeuse de base de données <> Architecte base de données
OCC_c2f30bbdb638,REMOTEOK,OCC_ccd1a82716dc,ESCO,skos:closeMatch,0.805,embeddings,pending,Analyste de données - Secteur de la santé <> analyste de données
OCC_07647950ddea,ESCO,OCC_0dfd1568b513,ROME,skos:closeMatch,0.804,embeddings,pending,administrateur de réseau informatique/administratrice de réseau informatique <> Administrateur / Administratrice de serveurs
OCC_22a265df20e2,ROME,OCC_47055aec8572,ESCO,skos:closeMatch,0.803,embeddings,pending,Intégrateur / Intégratrice logiciels métiers <> développeur de logiciels pour systèmes informatiques intégrés/développeuse de logiciels pour systèmes informatiques intégrés
OCC_30549a5affd9,ESCO,OCC_3dd25c7bc53e,ROME,skos:closeMatch,0.803,embeddings,pending,consultant informatique/consultante informatique <> Consultant / Consultante avant-vente
OCC_4000ceec52ad,REMOTEOK,OCC_ccd1a82716dc,ESCO,skos:closeMatch,0.802,embeddings,pending,Analyste de données - Excel <> analyste de données
OCC_903f27875082,ROME,OCC_c7ddb7ad3c99,ESCO,skos:closeMatch,0.799,embeddings,pending,Data engineer <> concepteur d’entrepôt de données/conceptrice d’entrepôt de données
OCC_65c02430a9d6,ESCO,OCC_e16c45181fb8,ROME,skos:closeMatch,0.799,embeddings,pending,responsable de l’audit informatique <> Responsable des études et applications informatiques
OCC_0a3ba0a2e348,ESCO,OCC_5fafb471f4aa,ROME,skos:closeMatch,0.798,embeddings,pending,analyste d’étude en TIC <> Analyste d'étude informatique
OCC_4243894cf004,ROME,OCC_a1ea51659e23,ESCO,skos:closeMatch,0.796,embeddings,pending,Développeur / Développeuse informatique <> développeur de systèmes informatiques/développeuse de systèmes informatiques
OCC_050f179f19d8,ROME,OCC_1fbb1e6392b6,ESCO,skos:closeMatch,0.795,embeddings,pending,Ingénieur / Ingénieure d'étude informatique <> analyste-testeur informatique/analyste-testeuse informatique
OCC_5fafb471f4aa,ROME,OCC_ccd1a82716dc,ESCO,skos:closeMatch,0.795,embeddings,pending,Analyste d'étude informatique <> analyste de données
OCC_47b1b32e81f9,ESCO,OCC_8d1f9f4c93ee,ROME,skos:closeMatch,0.795,embeddings,pending,technicien en sécurité informatique/technicienne en sécurité informatique <> Architecte sécurité informatique
OCC_91c7799dadef,ROME,OCC_e1b1773585de,ESCO,skos:closeMatch,0.794,embeddings,pending,Responsable de la production informatique <> responsable de la planification de la capacité informatique
OCC_3b2885fc44e3,ROME,OCC_727ec0d8350c,ESCO,skos:closeMatch,0.792,embeddings,pending,Ingénieur / Ingénieure en informatique embarquée <> informaticien/informaticienne
OCC_6d24adb3285c,ROME,OCC_ef12d6a864e0,ARBEITNOW,skos:closeMatch,0.789,embeddings,pending,Administrateur / Administratrice sécurité informatique <> Conseiller / Conseillère en services de sécurité managés (H/F/D)
OCC_127c8b092532,ESCO,OCC_e16c45181fb8,ROME,skos:closeMatch,0.786,embeddings,pending,responsable du service d’assistance informatique <> Responsable des études et applications informatiques
OCC_106b6f022c02,ESCO,OCC_3dd25c7bc53e,ROME,skos:closeMatch,0.784,embeddings,pending,consultant en recherche informatique/consultante en recherche informatique <> Consultant / Consultante avant-vente
OCC_4fedfaca20de,ROME,OCC_d9115408ab56,REMOTEOK,skos:closeMatch,0.783,embeddings,pending,Analyste décisionnel - Business Intelligence <> Analyste d'affaires
OCC_20596f0afee7,ESCO,OCC_6208e1876753,ROME,skos:closeMatch,0.781,embeddings,pending,analyste de système informatique <> Analyste Concepteur / Conceptrice informatique
OCC_47b1b32e81f9,ESCO,OCC_6ccbe5fe0132,ROME,skos:closeMatch,0.779,embeddings,pending,"technicien en sécurité informatique/technicienne en sécurité informatique <> Ingénieur / Ingénieure systèmes, réseaux et sécurité informatique"
OCC_991dd4068ca0,ESCO,OCC_e02a62ee28e8,ROME,skos:closeMatch,0.778,embeddings,pending,ingénieur en vision par ordinateur/ingénieure en vision par ordinateur <> Ingénieur informaticien / Ingénieure informaticienne
OCC_286d9da07b4d,ROME,OCC_e29ace1e3e50,ESCO,skos:closeMatch,0.778,embeddings,pending,Ingénieur concepteur / Ingénieure conceptrice informatique <> ingénieur de la connaissance/ingénieure de la connaissance
OCC_7342748ca544,ROME,OCC_77117619e46e,ARBEITNOW,skos:closeMatch,0.775,embeddings,pending,Analyste SOC (Security Operations Center) <> Consultant(e) SOC (Centre des opérations de sécurité) (H/F/D)
OCC_2523d083789d,ROME,OCC_59802a0ba34e,ESCO,skos:closeMatch,0.774,embeddings,pending,Spécialiste test et validation logiciel ou application <> testeur d’utilisabilité/testeuse d’utilisabilité
OCC_6cb6d62106d9,ESCO,OCC_98d19aeea9a4,ROME,skos:closeMatch,0.774,embeddings,pending,administrateur de systèmes informatiques/administratrice de systèmes informatiques <> Administrateur / Administratrice de systèmes d'information (SI)
OCC_6cb6d62106d9,ESCO,OCC_7d00df02eb9d,ROME,skos:closeMatch,0.772,embeddings,pending,administrateur de systèmes informatiques/administratrice de systèmes informatiques <> Administrateur / Administratrice de messagerie
OCC_80660e3c36ff,ESCO,OCC_ec6735d1a243,ROME,skos:closeMatch,0.771,embeddings,pending,ingénieur en intelligence artificielle/ingénieure en intelligence artificielle <> Ingénieur / Ingénieure en Intelligence Artificielle (IA)
OCC_164e408e096f,ROME,OCC_69eaea4542b3,ESCO,skos:closeMatch,0.771,embeddings,pending,Gestionnaire de base de données <> intégrateur de base de données/intégratrice de base de données
OCC_6836ed031e87,ESCO,OCC_c44a9eaae6e7,ROME,skos:closeMatch,0.771,embeddings,pending,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques <> Expert / Experte systèmes et réseaux informatiques
OCC_1ce0e8031f25,ROME,OCC_9e5778cecf8d,ESCO,skos:closeMatch,0.767,embeddings,pending,Technicien / Technicienne d'exploitation informatique <> concepteur de systèmes informatiques/conceptrice de systèmes informatiques
OCC_ea877a4a9a11,ARBEITNOW,OCC_eab9b08d024c,ROME,skos:closeMatch,0.759,embeddings,pending,Ingénieur(e) infrastructure / DevOps (H/F/D) <> Ingénieur / Ingénieure DevOps
OCC_6d24adb3285c,ROME,OCC_708b91f0f734,ESCO,skos:closeMatch,0.758,embeddings,pending,Administrateur / Administratrice sécurité informatique <> agent de service d’assistance informatique/agente de service d’assistance informatique
OCC_a0cecf937326,ESCO,OCC_ef12d6a864e0,ARBEITNOW,skos:closeMatch,0.757,embeddings,pending,administrateur sécurité informatique/administratrice sécurité informatique <> Conseiller / Conseillère en services de sécurité managés (H/F/D)
OCC_9f440c1548b6,ROME,OCC_b0446201413b,ESCO,skos:closeMatch,0.757,embeddings,pending,Evaluateur / Evaluatrice sécurité des systèmes et produits informatiques <> ingénieur en sécurité des systèmes intégrés/ingénieure en sécurité des systèmes intégrés
OCC_54194a8e4af5,ROME,OCC_9113c1374afd,ESCO,skos:closeMatch,0.757,embeddings,pending,Ingénieur / Ingénieure sécurité web <> gestionnaire des risques en cybersécurité
OCC_5fafb471f4aa,ROME,OCC_7bde92a813dd,ESCO,skos:closeMatch,0.755,embeddings,pending,Analyste d'étude informatique <> scientifique des données
OCC_2523d083789d,ROME,OCC_b46ed0bc22d0,ESCO,skos:closeMatch,0.755,embeddings,pending,Spécialiste test et validation logiciel ou application <> testeur de systèmes informatiques/testeuse de systèmes informatiques
OCC_1ce0e8031f25,ROME,OCC_9f67438781d4,ESCO,skos:closeMatch,0.755,embeddings,pending,Technicien / Technicienne d'exploitation informatique <> programmeur en informatique industrielle/programmeuse en informatique industrielle
OCC_1ce0e8031f25,ROME,OCC_45b81edc9b79,ARBEITNOW,skos:closeMatch,0.753,embeddings,pending,Technicien / Technicienne d'exploitation informatique <> Programmeur/euse / Technicien(ne) en automatisation (H/F/D)
OCC_09b65ca00490,ROME,OCC_fa1704d164c5,ESCO,skos:closeMatch,0.751,embeddings,pending,Chef / Cheffe de projet étude et développement informatique <> concepteur de logiciels/conceptrice de logiciels
OCC_46b37f0135cb,ESCO,OCC_5fafb471f4aa,ROME,skos:closeMatch,0.75,embeddings,pending,spécialiste de l’investigation numérique <> Analyste d'étude informatique
OCC_5fafb471f4aa,ROME,OCC_cbee4548194c,ESCO,skos:closeMatch,0.749,embeddings,pending,Analyste d'étude informatique <> analyste de la reprise des activités informatiques
OCC_20596f0afee7,ESCO,OCC_336e0a8cfc0b,ROME,skos:closeMatch,0.749,embeddings,pending,analyste de système informatique <> Expert / Experte méthodes et qualité informatique
OCC_3cacf2bb2b93,ARBEITNOW,OCC_89f4b0de8aeb,ESCO,skos:closeMatch,0.748,embeddings,pending,Informaticien(ne) spécialisé(e) en intégration de systèmes (H/F/D) <> concepteur de systèmes informatiques intégrés/conceptrice de systèmes informatiques intégrés
OCC_340f51445866,ESCO,OCC_e77bc5408895,REMOTEOK,skos:closeMatch,0.748,embeddings,pending,concepteur d’interface utilisateur/conceptrice d’interface utilisatrice <> Concepteur / Conceptrice d'interfaces
OCC_085a2958b6aa,ROME,OCC_7ca8931aad99,ESCO,skos:closeMatch,0.748,embeddings,pending,Analyste d'application informatique <> analyste d’expérience utilisateur
OCC_3ea9dcd66347,ESCO,OCC_8d1f9f4c93ee,ROME,skos:closeMatch,0.746,embeddings,pending,responsable de la sécurité des TIC <> Architecte sécurité informatique
OCC_2088e2ac84a9,ROME,OCC_30549a5affd9,ESCO,skos:closeMatch,0.746,embeddings,pending,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information <> consultant informatique/consultante informatique
OCC_02a46f9d3b88,ESCO,OCC_4cb0c0a25225,ROME,skos:closeMatch,0.746,embeddings,pending,développeur/développeuse de logiciels cloud <> Technicien / Technicienne Cloud
OCC_164e408e096f,ROME,OCC_b9e95ef30857,REMOTEOK,skos:closeMatch,0.746,embeddings,pending,Gestionnaire de base de données <> Agent administratif de saisie de données et de classement
OCC_7c028d934ec6,ESCO,OCC_c2f30bbdb638,REMOTEOK,skos:closeMatch,0.744,embeddings,pending,analyste qualité des données <> Analyste de données - Secteur de la santé
OCC_01372aeb8cb5,ESCO,OCC_20f53a6b090c,REMOTEOK,skos:closeMatch,0.74,embeddings,pending,architecte d’entreprise <> Concepteur / Conceptrice en architecture
OCC_09b65ca00490,ROME,OCC_5ba0f9300746,ARBEITNOW,skos:closeMatch,0.738,embeddings,pending,Chef / Cheffe de projet étude et développement informatique <> Chef d'équipe (H/F/D) Recherche et Développement - Outils et Infrastructure
OCC_4d34f0a4a62c,ARBEITNOW,OCC_6c87c4d3e182,ROME,skos:closeMatch,0.738,embeddings,pending,"Chef d'équipe - Planification réseau, déploiement fibre optique subventionné (H/F/D) <> Responsable d'exploitation fibre optique"
OCC_106b6f022c02,ESCO,OCC_5dccaa0f70e3,ROME,skos:closeMatch,0.738,embeddings,pending,consultant en recherche informatique/consultante en recherche informatique <> Directeur / Directrice de projet en informatique
OCC_286d9da07b4d,ROME,OCC_b415cabf36c7,REMOTEOK,skos:closeMatch,0.736,embeddings,pending,Ingénieur concepteur / Ingénieure conceptrice informatique <> Concepteur / Conceptrice UX/UI
OCC_6208e1876753,ROME,OCC_d9115408ab56,REMOTEOK,skos:closeMatch,0.736,embeddings,pending,Analyste Concepteur / Conceptrice informatique <> Analyste d'affaires
OCC_e02a62ee28e8,ROME,OCC_ff4e73f258e8,ESCO,skos:closeMatch,0.735,embeddings,pending,Ingénieur informaticien / Ingénieure informaticienne <> ingénieur en informatique en nuage/ingénieure en informatique en nuage
OCC_5a5307f6b57c,ROME,OCC_c79207b250ca,ESCO,skos:closeMatch,0.734,embeddings,pending,Ingénieur / Ingénieure Cloud computing <> ingénieur DevOps cloud/ingénieure DevOps cloud
OCC_1ce0e8031f25,ROME,OCC_89f4b0de8aeb,ESCO,skos:closeMatch,0.733,embeddings,pending,Technicien / Technicienne d'exploitation informatique <> concepteur de systèmes informatiques intégrés/conceptrice de systèmes informatiques intégrés
OCC_4243894cf004,ROME,OCC_cbba626eede9,ARBEITNOW,skos:closeMatch,0.727,embeddings,pending,Développeur / Développeuse informatique <> Développeur / Développeuse logiciel senior (H/F/D)
OCC_1cd71aaf46fd,ESCO,OCC_c506a18083b7,ROME,skos:closeMatch,0.727,embeddings,pending,webmestre <> Développeur / Développeuse web
OCC_5a5307f6b57c,ROME,OCC_5bfe9fc9c093,ESCO,skos:closeMatch,0.725,embeddings,pending,Ingénieur / Ingénieure Cloud computing <> responsable de l'identité cloud
OCC_498759db14be,ARBEITNOW,OCC_b01b8def641d,ESCO,skos:closeMatch,0.724,embeddings,pending,Ingénieur(e) assurance qualité (H/F/D) <> responsable de l’assurance qualité informatique
OCC_073f57ae50f2,ROME,OCC_554c5e421f89,ESCO,skos:closeMatch,0.724,embeddings,pending,Développeur / Développeuse multimédia <> développeur de jeux numériques/développeuse de jeux numériques
OCC_5ba0f9300746,ARBEITNOW,OCC_5dccaa0f70e3,ROME,skos:closeMatch,0.722,embeddings,pending,Chef d'équipe (H/F/D) Recherche et Développement - Outils et Infrastructure <> Directeur / Directrice de projet en informatique
OCC_0194b59e1846,ROME,OCC_9113c1374afd,ESCO,skos:closeMatch,0.721,embeddings,pending,Ingénieur / Ingénieure Cybersécurité Datacenter <> gestionnaire des risques en cybersécurité
OCC_1cd71aaf46fd,ESCO,OCC_8afef792d150,ROME,skos:closeMatch,0.717,embeddings,pending,webmestre <> Chef / Cheffe de projet Web
OCC_6b1c7257ba1b,ESCO,OCC_d9115408ab56,REMOTEOK,skos:closeMatch,0.713,embeddings,pending,analyste logiciel <> Analyste d'affaires
OCC_2088e2ac84a9,ROME,OCC_9c9233e004da,ESCO,skos:closeMatch,0.711,embeddings,pending,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information <> opérateur de centre de données/opératrice de centre de données
OCC_21efe6cdd8d9,ROME,OCC_5ba0f9300746,ARBEITNOW,skos:closeMatch,0.71,embeddings,pending,Chef de projet / Cheffe de projet (Project Management Officer) <> Chef d'équipe (H/F/D) Recherche et Développement - Outils et Infrastructure
OCC_da40f63e4373,ROME,OCC_fa1704d164c5,ESCO,skos:closeMatch,0.71,embeddings,pending,Qualiticien / Qualiticienne logiciel en informatique <> concepteur de logiciels/conceptrice de logiciels
OCC_6836ed031e87,ESCO,OCC_b7befaa6cd86,ROME,skos:closeMatch,0.71,embeddings,pending,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques <> Expert / Experte en communication et réseaux
OCC_7bde92a813dd,ESCO,OCC_a196178f2449,REMOTEOK,skos:closeMatch,0.706,embeddings,pending,scientifique des données <> Spécialiste en saisie de données
OCC_cbba626eede9,ARBEITNOW,OCC_e57061351bc6,ESCO,skos:closeMatch,0.705,embeddings,pending,Développeur / Développeuse logiciel senior (H/F/D) <> développeur de logiciels/développeuse de logiciels
OCC_2088e2ac84a9,ROME,OCC_af41616819b5,ESCO,skos:closeMatch,0.705,embeddings,pending,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information <> consultant en intégration de systèmes informatiques/consultante en intégration de systèmes informatiques
OCC_b6f0c15f7803,ROME,OCC_bd1d7a63edf2,ESCO,skos:closeMatch,0.705,embeddings,pending,Architecte systèmes et réseaux des territoires connectés <> architecte de réseau
OCC_45b81edc9b79,ARBEITNOW,OCC_9e5778cecf8d,ESCO,skos:closeMatch,0.704,embeddings,pending,Programmeur/euse / Technicien(ne) en automatisation (H/F/D) <> concepteur de systèmes informatiques/conceptrice de systèmes informatiques
OCC_c506a18083b7,ROME,OCC_ee0ddbbdc92c,ARBEITNOW,skos:closeMatch,0.704,embeddings,pending,Développeur / Développeuse web <> Développeur / Développeuse Frontend E-Commerce (H/F/D)
OCC_2e0e260cb4d7,REMOTEOK,OCC_3946835718f5,ROME,skos:closeMatch,0.704,embeddings,pending,Chef de produit - IA <> Product Owner
OCC_20f53a6b090c,REMOTEOK,OCC_286d9da07b4d,ROME,skos:closeMatch,0.704,embeddings,pending,Concepteur / Conceptrice en architecture <> Ingénieur concepteur / Ingénieure conceptrice informatique
OCC_a4f72755e1ad,ESCO,OCC_f98f0e96ecac,ROME,skos:closeMatch,0.703,embeddings,pending,développeur de chaînes de blocs/développeuse de chaînes de blocs <> Développeur / Développeuse blockchain
OCC_30549a5affd9,ESCO,OCC_8febad416722,ROME,skos:closeMatch,0.702,embeddings,pending,consultant informatique/consultante informatique <> Coordinateur / Coordinatrice de production web
OCC_5dccaa0f70e3,ROME,OCC_6622b2e6404b,ARBEITNOW,skos:relatedMatch,0.699,embeddings,pending,Directeur / Directrice de projet en informatique <> Directeur / Directrice Produit et Ingénierie (H/F/D)
OCC_6d24adb3285c,ROME,OCC_c8e3c9cb6c38,ARBEITNOW,skos:relatedMatch,0.697,embeddings,pending,Administrateur / Administratrice sécurité informatique <> Administrateur / Administratrice IT senior (H/F/D)
OCC_5575a38586ce,ROME,OCC_9c9233e004da,ESCO,skos:relatedMatch,0.697,embeddings,pending,Gestionnaire d'applications système d'information <> opérateur de centre de données/opératrice de centre de données
OCC_127c8b092532,ESCO,OCC_7139e09be76c,ROME,skos:relatedMatch,0.697,embeddings,pending,responsable du service d’assistance informatique <> Chef / Cheffe de projet Maîtrise d'Ouvrage des Systèmes d'Information (MOA)
OCC_6208e1876753,ROME,OCC_a55aa629a66b,REMOTEOK,skos:relatedMatch,0.697,embeddings,pending,Analyste Concepteur / Conceptrice informatique <> Analyste senior - Support de projet
OCC_127c8b092532,ESCO,OCC_77117619e46e,ARBEITNOW,skos:relatedMatch,0.696,embeddings,pending,responsable du service d’assistance informatique <> Consultant(e) SOC (Centre des opérations de sécurité) (H/F/D)
OCC_734c5ae6a3df,ROME,OCC_bd1d7a63edf2,ESCO,skos:relatedMatch,0.694,embeddings,pending,Chef / Cheffe de projet réseau fixe et mobile <> architecte de réseau
OCC_6cb6d62106d9,ESCO,OCC_c8e3c9cb6c38,ARBEITNOW,skos:relatedMatch,0.693,embeddings,pending,administrateur de systèmes informatiques/administratrice de systèmes informatiques <> Administrateur / Administratrice IT senior (H/F/D)
OCC_2088e2ac84a9,ROME,OCC_7d8d0e4e5d42,ESCO,skos:relatedMatch,0.693,embeddings,pending,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information <> auditeur des systèmes d’information/auditrice des systèmes d’information
OCC_127c8b092532,ESCO,OCC_b847e63cc092,ROME,skos:relatedMatch,0.693,embeddings,pending,responsable du service d’assistance informatique <> Gestionnaire de parc informatique
OCC_127c8b092532,ESCO,OCC_4a2781037768,ROME,skos:relatedMatch,0.692,embeddings,pending,responsable du service d’assistance informatique <> Directeur / Directrice des systèmes d'information (DSI)
OCC_98d19aeea9a4,ROME,OCC_c8e3c9cb6c38,ARBEITNOW,skos:relatedMatch,0.691,embeddings,pending,Administrateur / Administratrice de systèmes d'information (SI) <> Administrateur / Administratrice IT senior (H/F/D)
