status,kind,source,label_fr,label_en,entity_id,notes
reject,occupation,ARBEITNOW,Chargé(e) de sécurité au travail - Saxe-Anhalt,Fachkraft für Arbeitssicherheit (mensch) Saschsen-Anhalt,OCC_e2d3585c9ee5,
reject,occupation,ARBEITNOW,"Chatsetter / Préqualification (H/F/D) - activité indépendante, à temps partiel en complément","Chatsetter / Vorqualifizierung (m/w/d) - selbstständige, nebenberufliche Tätigkeit",OCC_8ef1e9943198,
valid,occupation,ARBEITNOW,Chef d'équipe (H/F/D) Finance à temps plein ou partiel,Teamleiter (m/w/d) Finance in Voll- oder Teilzeit,OCC_9c4c117df5f8,
valid,occupation,ARBEITNOW,Chef d'équipe (H/F/D) Recherche et Développement - Outils et Infrastructure,Teamleiter (m/w/d) Forschung und Entwicklung Tools & Infrastruktur,OCC_5ba0f9300746,
valid,occupation,ARBEITNOW,"Chef d'équipe - Planification réseau, déploiement fibre optique subventionné (H/F/D)",Teamleitung Netzplanung geförderter Glasfaserausbau (m/w/d),OCC_4d34f0a4a62c,
reject,occupation,ARBEITNOW,Chef de chantier (H/F/D),Bauleiter (m/w/d),OCC_28dd680bb4ca,
valid,occupation,ARBEITNOW,Chef de produit technique (Lead/Senior) - Ingénierie plateforme (H/F/D),(Lead/Senior) Technical Product Manager - Platform Engineering (m/f/d),OCC_8d76388f9989,
reject,occupation,ARBEITNOW,Chef de projet (H/F/D) Électrotechnique | Cologne,Projektleiter (m/w/d) Elektrotechnik | Köln,OCC_1acf41114c03,
reject,occupation,ARBEITNOW,Chef de projet construction junior - Éolien (H/F/D),Junior Baumanager Wind / Junior Construction Manager Wind (m/w/d),OCC_8a59698ac78b,
reject,occupation,ARBEITNOW,Chef de projet technique - Heartbeat AI (H/F/D),Technical Project Manager Heartbeat AI (m/f/d),OCC_31e13a095c73,
valid,occupation,ARBEITNOW,Co-responsable d'équipe et développeur(euse) senior (H/F/D) - Hambourg | Francfort | Vienne,Co-Team-Lead & Senior Developer (w/m/d) - Hamburg | Frankfurt | Wien,OCC_d13dc12649ed,
reject,occupation,ARBEITNOW,Concepteur / Conceptrice mécanique (H/F/D),Konstrukteur (m/w/d),OCC_4720bfd4a2a0,
valid,occupation,ARBEITNOW,Conseiller / Conseillère en services de sécurité managés (H/F/D),Managed Security Services Advisor (m/w/d),OCC_ef12d6a864e0,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Ayl, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Ayl, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_fbfac30acaad,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Beuren, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Beuren, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_9e06edf22e03,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Bruchsal, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Bruchsal, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_a50f158911fd,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Ditzingen, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Ditzingen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_134082e9f91e,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Fachbach, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Fachbach, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_60ade13e6a43,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Gelsenkirchen, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Gelsenkirchen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_82ba9632c664,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Gerbrunn, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Gerbrunn, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_e00f15cbde09,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Glattbach, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Glattbach, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_0a3688dc2883,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Hambrücken, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Hambrücken, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_fafcc7c3e7fc,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Ingersheim, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Ingersheim, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_33a53b79f008,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Kusel, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Kusel, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_dbf2e11ea29b,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Lindau, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Lindau, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_233cd4d87e99,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Mühlingen, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Mühlingen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_db9f949d0e8c,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Ostrach, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Ostrach, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_ad4e7c4a6214,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Wiesloch, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Wiesloch, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_06920ec91fba,
reject,occupation,ARBEITNOW,"Conseiller fiscal / Conseillère fiscale (H/F/D) recherché(e) à Winsen, avec perspective d'association sur demande - à partir de 90 000 €","Steuerberater (m/w/d) in Winsen, auf Wunsch mit Partnerperspektive, gesucht - mindestens 90.000€",OCC_6330162b9a2c,
valid,occupation,ARBEITNOW,Consultant(e) BI / Spécialiste Power BI et Microsoft Fabric (H/F/D),BI Consultant / Power BI & Microsoft Fabric Spezialist (m/w/d),OCC_7f69d3fb1a62,
reject,occupation,ARBEITNOW,"Consultant(e) HubSpot CRM - Sales, Marketing & Service Hub (H/F/D)","HubSpot CRM Consultant - Sales, Marketing & Service Hub (m/w/d)",OCC_1b0eea60efa5,
reject,occupation,ARBEITNOW,Consultant(e) LIMS et expert(e) en validation (H/F/D),LIMS Consultant & Validation Expert (m/w/d),OCC_30add5f5757a,
valid,occupation,ARBEITNOW,Consultant(e) SOC (Centre des opérations de sécurité) (H/F/D),SOC Consultant (Security Operations Center) (m/w/d),OCC_77117619e46e,
reject,occupation,ARBEITNOW,Consultant(e) commercial(e) senior - Temps plein (germanophone),Senior Sales Consultant - Vollzeit (German Speaking),OCC_7e563be9002e,
valid,occupation,ARBEITNOW,Consultant(e) senior en ingénierie IA (H/F/D),Senior AI Engineering Consultant (w/m/d),OCC_43958fcde9b9,
valid,occupation,ARBEITNOW,Coordinateur / Coordinatrice de projets logiciels (H/F/D) | Berlin-Mitte | Temps partiel/Temps plein,Projektkoordination Softwareprojekte (m/w/d) | Berlin-Mitte | Teilzeit/Vollzeit,OCC_c81768051e3f,
valid,occupation,ARBEITNOW,Directeur / Directrice Produit et Ingénierie (H/F/D),Head of Product & Engineering (m/w/d),OCC_6622b2e6404b,
valid,occupation,ARBEITNOW,Direction Infrastructure IT (H/F/D),Leitung IT-Infrastruktur (m/w/d),OCC_e8eadf46f8fb,
reject,occupation,ARBEITNOW,Direction pour institut de beauté exclusif (H/F/D) à temps plein à Munich-Bogenhausen,Leitung für exklusives Kosmetik-Institut (m/w/d) in Vollzeit in München-Bogenhausen,OCC_6ede733bf14e,
valid,occupation,ARBEITNOW,Développeur / Développeuse Frontend E-Commerce (H/F/D),Frontend Developer E-Commerce (w/m/d),OCC_ee0ddbbdc92c,
reject,occupation,ARBEITNOW,Développeur / Développeuse en matériel analogique (H/F/D),Entwickler für analoge Hardware (m/w/d),OCC_4723bd332f04,
valid,occupation,ARBEITNOW,Développeur / Développeuse logiciel (H/F/D) - Spécialisation Angular,Software Developer (m/w/d)- Schwerpunkt Angular,OCC_6065b7acaf02,
valid,occupation,ARBEITNOW,"Développeur / Développeuse logiciel Fullstack Java, Angular (H/F/D)","Fullstack Software Entwickler Java, Angular (m/w/d)",OCC_c49207ccbbab,
valid,occupation,ARBEITNOW,Développeur / Développeuse logiciel senior (H/F/D),Senior Software Developer (m/w/d),OCC_cbba626eede9,
reject,occupation,ARBEITNOW,Exclusif : Gestionnaire technique de biens immobiliers (H/F/D) | portefeuille immobilier haut de gamme | jusqu'à environ 80 000 € de salaire annuel | télétravail | emplacement central à Munich,Exklusiv: Technischer Property Manager (m/w/d) | hochwertiges Immobilienportfolio | bis ca. 80k € Jahresgehalt | Homeoffice | zentrale Lage in München,OCC_b46dac6412d2,
reject,occupation,ARBEITNOW,Formation d'informaticien(ne) spécialisé(e) en intégration de systèmes (H/F/D),Ausbildung zum Fachinformatiker für Systemintegration (m/w/d),OCC_a06c1a2b7a1b,
valid,occupation,ARBEITNOW,Game Designer senior - Solitaire TriPeaks (Systèmes et économie) - Télétravail intégral,Senior Game Designer - Solitaire TriPeaks (Systems & Economy) - Fully Remote,OCC_3b84fd707ab1,
valid,occupation,ARBEITNOW,Gestionnaire de compte Google Ads | Spécialisation e-commerce (H/F/D) | Frankfurt am Main,Google-Ads Account Manager | Fokus E-Commerce (m/w/d) | Frankfurt am Main,OCC_941dbc8e121c,
valid,occupation,ARBEITNOW,Gestionnaire de compte SEA/Google Ads junior | Spécialisation e-commerce (H/F/D) | Frankfurt am Main,Junior SEA/Google Ads-Account Manager | E-Commerce Fokus (m/w/d) | Frankfurt am Main,OCC_9fb404d4f622,
reject,occupation,ARBEITNOW,Gestionnaire technique de biens immobiliers / Gestion de bâtiments - Sites Fulda/Wurtzbourg,Technischer Immobilienmanager/Gebäudemanagement Standort Fulda/Würzburg,OCC_2efdbd1cf825,
reject,occupation,ARBEITNOW,Généraliste RH spécialisé(e) en gestion de la paie (H/F/D),HR Generalist mit Schwerpunkt Entgeltabrechnung (m/w/d),OCC_d3c27b2b3e2b,
valid,occupation,ARBEITNOW,Informaticien(ne) spécialisé(e) en intégration de systèmes (H/F/D),Fachinformatiker für Systemintegration (m/w/d),OCC_3cacf2bb2b93,
reject,occupation,ARBEITNOW,"Ingénieur / Technicien (H/F/D) - Développement de dispositifs médicaux jetables, Pharma (1522)",Ingenieur / Techniker (m/w/d) Entwicklung Disposables Pharma (1522),OCC_92cd67638b85,
valid,occupation,ARBEITNOW,Ingénieur(e) (senior) IT Operations (H/F/D),(Senior) IT Operations Engineer (gn),OCC_8bf3aa81e931,
valid,occupation,ARBEITNOW,Ingénieur(e) Backend fondateur (Go),Founding Backend Engineer(Go),OCC_ab046c951cca,
valid,occupation,ARBEITNOW,Ingénieur(e) Frontend (H/F/D),Frontend Engineer (m/w/d),OCC_f75ad6da5f30,
valid,occupation,ARBEITNOW,"Ingénieur(e) IA (H/F/D) - Full Stack, TypeScript / Nuxt / Next / Vue / React","AI Engineer (m/f/d) - Full Stack, TypeScript / Nuxt / Next / Vue / React",OCC_341bd728b0ae,
valid,occupation,ARBEITNOW,Ingénieur(e) IT Operations (H/F/D),IT Operations Engineer (gn),OCC_d6208f2780c6,
valid,occupation,ARBEITNOW,Ingénieur(e) assurance qualité (H/F/D),Quality Assurance Engineer (m/f/d),OCC_498759db14be,
valid,occupation,ARBEITNOW,Ingénieur(e) calcul de structures (H/F/D),Stress Engineer (m/f/d),OCC_97f1b74ad13e,
valid,occupation,ARBEITNOW,Ingénieur(e) coûts senior (H/F/D),Senior Cost Engineer (gn),OCC_356ac99cca16,
valid,occupation,ARBEITNOW,Ingénieur(e) de développement (H/F/D) - Biocapteurs à Mannheim (1701),Entwicklungsingenieur (m/w/d) Biosensoren in Mannheim (1701),OCC_e88927698e41,
valid,occupation,ARBEITNOW,Ingénieur(e) de développement (H/F/D) FPGA,Entwicklungsingenieur (m/w/d) FPGA,OCC_aca1a4cafa57,
valid,occupation,ARBEITNOW,Ingénieur(e) en robotique / logiciel embarqué (H/F/D),Robotics / Embedded Software Engineer (m/f/d),OCC_1bb89a04e3bf,
valid,occupation,ARBEITNOW,Ingénieur(e) infrastructure / DevOps (H/F/D),Infrastructure Engineer / DevOps (m/w/d),OCC_ea877a4a9a11,
valid,occupation,ARBEITNOW,Ingénieur(e) logiciel (H/F/D),Software Engineer (m/f/d),OCC_4a7e79aa5d4f,
valid,occupation,ARBEITNOW,Ingénieur(e) logiciel (H/F/D) - Vienne | Hambourg | Francfort,Software Engineer (w/m/d) - Wien | Hamburg | Frankfurt,OCC_b47b635dd3a8,
valid,occupation,ARBEITNOW,Ingénieur(e) logiciel (H/F/X) - TypeScript (NestJS ou React),Software Engineer (f/m/x) - TypeScript (NestJS or React),OCC_9608b318f986,
valid,occupation,ARBEITNOW,"Ingénieur(e) logiciel - Automatisation et opérations (H/F/D, temps plein)","Software Engineer - Automation & Operations (m/w/d, FT)",OCC_3568bf427685,
reject,occupation,ARBEITNOW,Ingénieur(e) logiciel PCS7 - Électrotechnique (H/F/D),Software-Ingenieur PCS7 Elektrotechnik (m/w/d),OCC_5cd299d6d5a8,
valid,occupation,ARBEITNOW,"Ingénieur(e) logiciel confirmé(e) - Plateforme de données IA et Snowflake (H/F/D, Berlin)","Staff Software Engineer - AI Data Platform & Snowflake (d/f/m, Berlin)",OCC_cf9385ee6570,
valid,occupation,ARBEITNOW,Ingénieur(e) logiciel senior / Ingénieur(e) ML (H/F/X) - Secteur de l'éducation / Télétravail,Senior Software Engineer / ML Engineer (m/w/x) im Bildungsumfeld / Remote,OCC_88496659bc48,
valid,occupation,ARBEITNOW,Ingénieur(e) plateforme / DevOps (H/F/D) | Startup GovTech IA | Munich,Platform Engineer / DevOps (m/f/d) | AI GovTech Startup | Munich,OCC_10dc41f6953f,
valid,occupation,ARBEITNOW,Ingénieur(e) plateforme Full Stack (H/F/D),Full Stack Platform Engineer (m/f/d),OCC_9dfb8a8e4b63,
valid,occupation,ARBEITNOW,Ingénieur(e) produit senior (H/F/D),Senior Product Engineer (m/w/d),OCC_e52569128fe5,
valid,occupation,ARBEITNOW,Ingénieur(e) senior en apprentissage automatique (H/F/*),Senior Machine Learning Engineer (m/f/*),OCC_fe42133b7839,
valid,occupation,ARBEITNOW,Ingénieur(e) support applicatif (H/F/D),Application Support Engineer (f/m/d),OCC_61cc9ca73474,
valid,occupation,ARBEITNOW,Ingénieur(e) support technique - Roumanie,Technical Support Engineer - Romania,OCC_4ea592580d67,
valid,occupation,ARBEITNOW,Ingénieur(e) systèmes IT (H/F/D),IT-System Engineer (m/w/d),OCC_ccb65c46f869,
reject,occupation,ARBEITNOW,Manager Coopérations - Basketball Jeunes et Féminin (tous genres) - Temps plein,Manager:in Kooperationen Jugend- & Frauenbasketball (all genders) in Vollzeit,OCC_54b4adbd8f80,
reject,occupation,ARBEITNOW,Monteur / Monteuse vidéo RECHERCHÉ(E) ! - Freelance / Temps plein,Video Editor*in GESUCHT! - Freelance / Vollzeit,OCC_1baa9094411a,
reject,occupation,ARBEITNOW,Mécatronicien / Mécatronicienne (H/F/D) - Robotique et automatisation,Mechatroniker (m/w/d) für Robotik & Automatisierung,OCC_afd726718043,
reject,occupation,ARBEITNOW,Office Manager (H/F/D) spécialisé(e) en Personnel et Organisation,Office Manager (m/w/d) mit dem Schwerpunkt Personal & Organisation,OCC_db825f177c46,
valid,occupation,ARBEITNOW,Product Owner - Agent Assist et User Platforms (H/F/D),Product Owner Agent Assist & User Platforms (m/w/d),OCC_5d343c03bfac,
valid,occupation,ARBEITNOW,Programmeur/euse / Technicien(ne) en automatisation (H/F/D),Programmierer / Automatisierungstechniker (w/m/d),OCC_45b81edc9b79,
reject,occupation,ARBEITNOW,Préparateur / Préparatrice de travaux (H/F/D),Arbeitsvorbereiter (m/w/d),OCC_9008cb4647bc,
reject,occupation,ARBEITNOW,"Responsable Communication, Marque et Campagnes (H/F/D)","Communication, Brand & Campaign Manager*in (m/w/d)",OCC_62809dcd6eb7,
reject,occupation,ARBEITNOW,Responsable Growth Marketing (H/F/D) - Temps plein / Télétravail,Growth Marketing Manager (m/w/d) Vollzeit / Remote,OCC_b0b2cac153ee,
valid,occupation,ARBEITNOW,Responsable Ingénieur(e) IT Operations (H/F/D),Lead IT Operations Engineer (gn),OCC_eb475bc6322d,
valid,occupation,ARBEITNOW,"Responsable d'ingénierie senior, Domaine Supply (tous genres)","Senior Engineering Manager, Supply Domain (all genders)",OCC_e2001adaaee2,
valid,occupation,ARBEITNOW,"Responsable d'ingénierie, Moteur de recherche (tous genres)","Engineering Manager, Search Engine (all genders)",OCC_14a3530bfb4b,
reject,occupation,ARBEITNOW,Responsable de campagnes numériques,Digital Campaign Manager,OCC_d948abd2348d,
reject,occupation,ARBEITNOW,Responsable des achats (H/F/D) expérimenté(e),Purchase Manager / Einkaufsleiter (m/w/d) mit Erfahrung,OCC_f006a0e01c67,
reject,occupation,ARBEITNOW,Responsable des campagnes sur les réseaux sociaux - Temps plein,"Lead Social Media Campaigning, in Vollzeit",OCC_61c4c4efb79b,
reject,occupation,ARBEITNOW,Responsable des opérations - Services aux bâtiments et locataires (H/F/D),Operations Manager Facility & Tenant Services (m/w/d),OCC_b7c0ba682bd6,
reject,occupation,ARBEITNOW,Responsable marketing B2B IT / Services managés (H/F/D) - 1435,Marketing Manager B2B IT / Managed Services (m/w/d) - 1435,OCC_0c906d3158a6,
reject,occupation,ARBEITNOW,Responsable senior Marketing Produit - Secteur maritime (H/F/D),Senior Product Marketing Manager Sea Domain (m/f/d),OCC_42f9463eb1fd,
reject,occupation,ARBEITNOW,Réparateur / Réparatrice de béton (H/F/D),Betoninstandsetzer (gn),OCC_6873fd65a786,
reject,occupation,ARBEITNOW,"Spécialiste Growth Marketing (H/F/D) - Meta Ads pour l'e-commerce | Agence boutique native IA, marketing en ligne","Growth Marketer (m/w/d) Meta Ads für E-Commerce | AI-native Boutique-Agentur, Online Marketing",OCC_8adbac8dcb63,
reject,occupation,ARBEITNOW,Spécialiste en marketing de performance (H/F/D) - Meta Ads × IA × Stratégie créative | E-commerce à panier moyen élevé,Performance Marketer (m/w/d) - Meta Ads × AI × Creative Strategy | High-AOV E-Commerce,OCC_0e0abf26f543,
reject,occupation,ARBEITNOW,Stage dans le domaine du prototypage et des données pour la vision par ordinateur automobile,Praktikum im Bereich Prototyping & Data für Automotive Computer Vision,OCC_337c349a44d6,
reject,occupation,ARBEITNOW,Stage en gestion de portefeuille de produits (H/F/D),Internship Product Portfolio Management (m/f/d),OCC_dc37b8bdabd2,
reject,occupation,ARBEITNOW,Stage en gestion de produit à l'international (H/F/D),Internship Global Product Management (m/f/d),OCC_7b06230b6c8b,
reject,occupation,ARBEITNOW,Stagiaire / Étudiant(e) salarié(e) - Analyste marché et réglementation @Atmen,Market & Regulation Analyst Intern/Werkstudent @Atmen,OCC_4f5b19d65580,
reject,occupation,ARBEITNOW,Stagiaire Manager Artiste / Manager Influenceur (H/F/D),Trainee Artist Manager / Influencer Manager (m/w/d),OCC_0ae55a601c37,
reject,occupation,ARBEITNOW,Surveillant(e) de travaux ferroviaires (H/F/D) - Infrastructure ferroviaire et génie civil structurel | Munich,Bauüberwacher Bahn (m/w/d) Oberbau & Konstruktiver Ingenieurbau | München,OCC_9b420ddd07b8,
reject,occupation,ARBEITNOW,Testeur / Testeuse,Tester:in,OCC_0c71507b3ef9,
reject,occupation,ARBEITNOW,Vendeur / Vendeuse spécialisé(e) à temps plein/temps partiel,Fachverkäufer (m/w/d) Vollzeit/Teilzeit,OCC_aa7fe0e12132,
reject,occupation,ARBEITNOW,"Étudiant(e) salarié(e) (H/F/D) en marketing, spécialisé(e) en réseaux sociaux et création de contenu",Werkstudent (m/w/d) im Marketing mit Schwerpunkt Social Media & Content Creation,OCC_3f1f438816f3,
reject,occupation,ARBEITNOW,Étudiant(e) salarié(e) - Designer Produit (H/F/D),Working Student Product Designer (m/w/d),OCC_f78b1a76ee03,
reject,occupation,ARBEITNOW,Étudiant(e) salarié(e) - Développement logiciel - Outils internes et automatisation (H/F/D),Werkstudent Softwareentwicklung - Interne Tools & Automatisierung (m/w/d),OCC_4533932080ae,
reject,occupation,ARBEITNOW,Étudiant(e) salarié(e) - Développement web et automatisation IA (H/F/D),Werkstudent*in Webentwicklung und KI-Automatisierung (m/w/d),OCC_3ce7ca6b20a1,
reject,occupation,ARBEITNOW,Étudiant(e) salarié(e) - Product & Venture Building,Werkstudent:in Product & Venture Building,OCC_acc0d4bfbc80,
reject,occupation,ARBEITNOW,Étudiant(e) salarié(e) - Product Owner pour projets logiciels (H/F/D),Werkstudent Product Owner für Softwareprojekte (m/w/d),OCC_a281f922ffc2,
reject,occupation,ARBEITNOW,Étudiant(e) salarié(e) - Retail Media / Marketplace (H/F/D),Werkstudent Retail Media / Marketplace (m/w/d),OCC_9815254a36b8,
reject,occupation,ARBEITNOW,Étudiant(e) salarié(e) : Ingénierie d'automatisation QA (H/F/D),Working Student: QA Automation Engineering (m/f/d),OCC_d4d0cb4ec6d2,
reject,occupation,REMOTEOK,Administrateur / Administratrice de programmes éducatifs,Educational Programs Administrator,OCC_65f7753cbd14,
valid,occupation,REMOTEOK,Agent administratif de saisie de données et de classement,Administrative Data Entry File Clerk,OCC_b9e95ef30857,
valid,occupation,REMOTEOK,Agent de saisie de données,Data Entry Clerk,OCC_3756041ae6ec,
valid,occupation,REMOTEOK,Agent de saisie de données / Spécialiste en saisie de données,Data Entry Clerk Data Entry Specialist,OCC_d8d5f3a4878b,
valid,occupation,REMOTEOK,Agent de saisie de données débutant - Télétravail intégral,Entry Level Data Entry Clerk Fully,OCC_e2079fd4cbf9,
valid,occupation,REMOTEOK,Analyste d'affaires,Business Analyst,OCC_d9115408ab56,
valid,occupation,REMOTEOK,Analyste de données - Excel,Data Analyst Excel,OCC_4000ceec52ad,
valid,occupation,REMOTEOK,Analyste de données - Secteur de la santé,Data Analyst Healthcare,OCC_c2f30bbdb638,
valid,occupation,REMOTEOK,Analyste des systèmes de la chaîne d'approvisionnement,Supply Chain Systems Analyst,OCC_8df0f1dba04b,
valid,occupation,REMOTEOK,Analyste senior - Support de projet,Senior Analyst Project Support,OCC_a55aa629a66b,
reject,occupation,REMOTEOK,Artiste freelance de décors pour YouTube Studio,Freelance Background Artist for YouTube Studio,OCC_a1062fbaedbf,
reject,occupation,REMOTEOK,Assistant(e) en design d'intérieur (Revit et 3Ds Max),Interior Design Assistant (Revit and 3Ds Max,OCC_77d8eb8af8c6,
reject,occupation,REMOTEOK,Candidature spontanée - Téléversez votre CV ici,General Consideration Upload Your Resume Here,OCC_648dbc6a23f2,
reject,occupation,REMOTEOK,Chargé(e) de comptes clés,Key Accounts Executive,OCC_5752988aa7ff,
valid,occupation,REMOTEOK,Chef de produit - IA,Product Manager AI,OCC_2e0e260cb4d7,
reject,occupation,REMOTEOK,Closer commercial - Ventes entrantes,Inbound Sales Closer,OCC_85e5ce1c9c06,
valid,occupation,REMOTEOK,Concepteur / Conceptrice UX/UI,UX UI Designer,OCC_b415cabf36c7,
valid,occupation,REMOTEOK,Concepteur / Conceptrice d'interfaces,Interface Designer,OCC_e77bc5408895,
valid,occupation,REMOTEOK,Concepteur / Conceptrice en architecture,Architectural Designer,OCC_20f53a6b090c,
valid,occupation,REMOTEOK,Concepteur / Conceptrice web junior,Junior Web Designer,OCC_d3df557742ce,
reject,occupation,REMOTEOK,Coordinateur / Coordinatrice des réseaux sociaux,Social Media Coordinator,OCC_233642eb3870,
valid,occupation,REMOTEOK,Dactylographe - Saisie de données,Data Entry Typist,OCC_b98e457eb404,
reject,occupation,REMOTEOK,Dessinateur / Dessinatrice-concepteur(trice) en architecture,Architectural Drafter Designer,OCC_92f9f3093c8b,
reject,occupation,REMOTEOK,Directeur / Directrice de la réussite client,Director of Customer Success,OCC_0a2af15c9ee4,
reject,occupation,REMOTEOK,Expert(e) en langue anglaise,English Language Expert,OCC_ddd89e3da57a,
reject,occupation,REMOTEOK,Illustrator,Illustrator,OCC_5ee620e6a9b5,
valid,occupation,REMOTEOK,Jeune diplômé(e) - Data Scientist,Graduate Data Scientist,OCC_7781415f8e03,
reject,occupation,REMOTEOK,Le poste,The Role,OCC_12523bb775b4,
reject,occupation,REMOTEOK,Le processus de recrutement,The Hiring Process,OCC_d393d2b655d6,
reject,occupation,REMOTEOK,Membre de l'équipe des opérations de recrutement BBG etc.,Hiring Operations Team Member BBG etc,OCC_937bf93f81fa,
